iterations,fitness,time,fevals
0,23.0,0.000675782,648
10,26.0,0.00131515,1194
20,26.0,0.001973059,1746
30,28.0,0.002496636,2295
40,29.0,0.00295755,2850
50,30.0,0.003359745,3387
60,29.0,0.003744323,3943
70,30.0,0.004138742,4484
80,29.0,0.004513661,5023
90,30.0,0.004893151,5576
100,29.0,0.005269513,6124
110,29.0,0.005637423,6664
120,30.0,0.005996285,7212
130,29.0,0.006357562,7753
140,28.0,0.006734026,8307
150,28.0,0.007099464,8859
160,28.0,0.00746151,9400
170,28.0,0.007828291,9940
180,29.0,0.008188462,10496
190,30.0,0.008555178,11045
200,29.0,0.008919892,11595
210,29.0,0.00929967999999,12142
220,29.0,0.00968223999999,12685
230,28.0,0.010450667,13234
240,29.0,0.011268426,13781
250,30.0,0.012045421,14334
260,30.0,0.012834279,14874
270,31.0,0.013282326,15424
280,31.0,0.013641065,15981
290,31.0,0.013996854,16533
300,31.0,0.014347587,17088
310,31.0,0.01472747,17636
320,31.0,0.015117108,18183
330,33.0,0.015514324,18725
340,33.0,0.015903453,19269
350,33.0,0.016298101,19827
360,33.0,0.01664869,20371
370,33.0,0.0170217,20914
380,33.0,0.017400037,21462
390,35.0,0.017734902,22009
400,35.0,0.018097365,22560
410,34.0,0.018497461,23108
420,34.0,0.019275022,23661
430,34.0,0.019641938,24204
440,33.0,0.020007539,24754
450,33.0,0.020366317,25299
460,33.0,0.020730314,25846
470,34.0,0.021092554,26390
480,34.0,0.021461692,26940
490,34.0,0.021832762,27484
500,35.0,0.022200517,28022
510,35.0,0.022565657,28568
520,35.0,0.022933006,29120
530,35.0,0.023297248,29663
540,37.0,0.023666374,30205
550,36.0,0.024080961,30759
560,36.0,0.024487465,31306
570,36.0,0.024905396,31859
580,35.0,0.025371265,32398
590,35.0,0.025770565,32943
600,36.0,0.02615892,33495
610,35.0,0.026528191,34040
620,36.0,0.026902758,34588
630,38.0,0.027401822,35139
640,38.0,0.027839672,35694
650,38.0,0.028222243,36245
660,38.0,0.028598198,36802
670,38.0,0.028963817,37351
680,39.0,0.029313406,37892
690,38.0,0.029662015,38432
700,39.0,0.030005458,38984
710,40.0,0.030347229,39528
720,40.0,0.030690588,40081
730,39.0,0.031028122,40628
740,40.0,0.031364221,41170
750,40.0,0.031699945,41719
760,41.0,0.032034019,42264
770,41.0,0.032362941,42811
780,42.0,0.032699361,43362
790,41.0,0.033034276,43916
800,42.0,0.033380691,44459
810,43.0,0.033723955,45009
820,43.0,0.034073985,45559
830,42.0,0.034426723,46105
840,43.0,0.034769656,46655
850,43.0,0.035130426,47204
860,43.0,0.035505916,47752
870,43.0,0.036268791,48301
880,43.0,0.037084824,48842
890,44.0,0.037872731,49384
900,44.0,0.038674284,49936
910,43.0,0.039132473,50495
920,44.0,0.039472653,51042
930,44.0,0.039814398,51599
940,44.0,0.040153068,52150
950,44.0,0.040493774,52702
960,44.0,0.040840109,53247
970,44.0,0.041186474,53802
980,44.0,0.04153965,54346
990,44.0,0.041951216,54898
1000,44.0,0.042294422,55452
1010,45.0,0.042636645,55993
1020,45.0,0.04298863,56544
1030,45.0,0.043349353,57096
1040,46.0,0.043717434,57649
1050,46.0,0.044071277,58195
1060,45.0,0.044412108,58736
1070,46.0,0.044862043,59284
1080,45.0,0.045203544,59831
1090,45.0,0.045558305,60378
1100,46.0,0.045912286,60931
1110,46.0,0.046252346,61476
1120,45.0,0.046609856,62018
1130,45.0,0.047030955,62563
1140,45.0,0.047365044,63115
1150,45.0,0.0477104,63665
1160,46.0,0.048051939,64210
1170,45.0,0.048402809,64756
1180,45.0,0.048748395,65304
1190,45.0,0.049211682,65851
1200,45.0,0.049561048,66399
1210,45.0,0.050002515,66950
1220,45.0,0.050437853,67503
1230,45.0,0.050828573,68054
1240,46.0,0.051271639,68614
1250,45.0,0.051684461,69163
1260,45.0,0.052126045,69705
1270,45.0,0.052485082,70253
1280,46.0,0.052948964,70801
1290,46.0,0.053351,71353
1300,46.0,0.053811868,71907
1310,47.0,0.054229646,72447
1320,47.0,0.054615728,72982
1330,47.0,0.055006,73532
1340,46.0,0.055384226,74082
1350,46.0,0.055753637,74629
1360,46.0,0.056233922,75182
1370,46.0,0.0566062,75734
1380,46.0,0.056975718,76282
1390,46.0,0.057342082,76824
1400,46.0,0.057830237,77368
1410,46.0,0.058180391,77919
1420,47.0,0.058526149,78475
1430,47.0,0.058871553,79020
1440,46.0,0.059238227,79556
1450,46.0,0.05958675,80097
1460,46.0,0.059957155,80650
1470,46.0,0.060312086,81202
1480,46.0,0.060729474,81743
1490,47.0,0.061207659,82293
1500,46.0,0.06186108,82839
1510,46.0,0.062681321,83390
1520,46.0,0.063461062,83930
1530,46.0,0.064243753,84485
1540,46.0,0.064755321,85025
1550,46.0,0.065103654,85572
1560,46.0,0.065453116,86125
1570,46.0,0.065797886,86671
1580,46.0,0.06613841,87218
1590,46.0,0.066468196,87772
1600,46.0,0.066828258,88320
1610,47.0,0.067161299,88871
1620,46.0,0.067488575,89416
1630,46.0,0.067814772,89969
1640,46.0,0.068142843,90523
1650,46.0,0.068476302,91065
1660,46.0,0.068819637,91611
1670,46.0,0.0691568,92165
1680,46.0,0.069488794,92707
1690,46.0,0.069837998,93260
1700,46.0,0.070182282,93815
1710,46.0,0.0705275,94362
1720,47.0,0.070873524,94908
1730,46.0,0.071220402,95453
1740,46.0,0.071566468,96000
1750,47.0,0.071914545,96546
1760,47.0,0.072269471,97096
1770,46.0,0.07264123,97644
1780,47.0,0.072993156,98193
1790,46.0,0.073345299,98740
1800,47.0,0.073691675,99292
1810,47.0,0.074040222,99835
1820,47.0,0.074431037,100384
1830,47.0,0.074805887,100934
1840,47.0,0.0752027,101488
1850,47.0,0.075585678,102036
1860,47.0,0.075959043,102577
1870,47.0,0.076333542,103119
1880,47.0,0.076704633,103663
1890,47.0,0.077226658,104215
1900,47.0,0.077638728,104764
1910,47.0,0.078008376,105309
1920,47.0,0.07847623,105848
1930,47.0,0.078913654,106394
