iterations,fitness,time,fevals
0,31.0,0.074939273,1000
10,38.0,0.1476566,2100
20,44.0,0.207975723,3200
30,47.0,0.264795295,4300
40,48.0,0.319367559,5400
50,48.0,0.375010221,6500
60,45.0,0.428147683,7600
70,50.0,0.482721937,8700
80,49.0,0.534582201,9800
90,50.0,0.587835341,10900
100,48.0,0.639359286,12000
110,49.0,0.692438627,13100
120,48.0,0.744129476,14200
130,50.0,0.794766561,15300
140,50.0,0.846766791,16400
150,50.0,0.896976187,17500
160,49.0,0.949707749,18600
170,49.0,1.001760989,19700
180,49.0,1.055362082,20800
190,50.0,1.10776305,21900
200,50.0,1.162609891,23000
210,50.0,1.213654384,24100
220,49.0,1.266820433,25200
230,49.0,1.319909321,26300
240,49.0,1.373107437,27400
250,50.0,1.426428724,28500
260,50.0,1.479950276,29600
270,50.0,1.531456767,30700
280,49.0,1.583262295,31800
290,50.0,1.63718869,32900
300,50.0,1.692482575,34000
310,49.0,1.74525356,35100
320,50.0,1.794419753,36200
330,49.0,1.846788896,37300
340,50.0,1.896371297,38400
350,49.0,1.946203323,39500
360,50.0,1.997922025,40600
370,51.0,2.051937138,41700
380,50.0,2.102726026,42800
390,50.0,2.154352616,43900
400,49.0,2.20659979,45000
410,49.0,2.258445368,46100
420,49.0,2.311554371,47200
430,49.0,2.362939411,48300
440,49.0,2.415441483,49400
450,50.0,2.466175159,50500
460,49.0,2.517311098,51600
470,50.0,2.568344942,52700
480,49.0,2.621846858,53800
490,51.0,2.674242494,54900
500,50.0,2.724133044,56000
510,49.0,2.775011484,57100
520,49.0,2.826283711,58200
530,50.0,2.875932552,59300
540,49.0,2.92719037,60400
550,49.0,2.976814176,61500
560,50.0,3.029593907,62600
570,50.0,3.078723736,63700
580,49.0,3.130267002,64800
590,48.0,3.179832062,65900
600,49.0,3.23396088,67000
610,50.0,3.284725594,68100
620,49.0,3.335262455,69200
630,50.0,3.385068021,70300
640,50.0,3.434870581,71400
650,50.0,3.489729418,72500
660,50.0,3.538935796,73600
670,49.0,3.590243319,74700
680,60.0,3.640274125,75800
690,50.0,3.69181952,76900
700,50.0,3.74344192,78000
710,50.0,3.795411682,79100
720,48.0,3.844894399,80200
730,50.0,3.895565122,81300
740,50.0,3.947954081,82400
750,48.0,4.001170581,83500
760,51.0,4.052673736,84600
770,50.0,4.104199699,85700
780,49.0,4.155313352,86800
790,50.0,4.204831665,87900
800,49.0,4.258887105,89000
810,49.0,4.308502692,90100
820,49.0,4.360003201,91200
830,50.0,4.410483863,92300
840,49.0,4.459071428,93400
850,50.0,4.509676505,94500
860,49.0,4.568631324,95600
870,50.0,4.626468791,96700
880,50.0,4.67862223,97800
890,50.0,4.740943643,98900
900,49.0,4.798157097,100000
910,49.0,4.850693282,101100
920,50.0,4.901812781,102200
930,49.0,4.953766688,103300
940,50.0,5.004054669,104400
950,50.0,5.055486006,105500
960,50.0,5.106469247,106600
970,49.0,5.15787401,107700
980,49.0,5.208610455,108800
990,49.0,5.2586303,109900
1000,49.0,5.311094563,111000
1010,49.0,5.360737833,112100
1020,49.0,5.410780189,113200
1030,50.0,5.461728117,114300
1040,50.0,5.514478367,115400
1050,49.0,5.56724784,116500
1060,49.0,5.618058348,117600
1070,50.0,5.668100635,118700
1080,49.0,5.719283161,119800
1090,49.0,5.770537408,120900
1100,50.0,5.820802538,122000
1110,50.0,5.874566831,123100
1120,50.0,5.924180191,124200
1130,50.0,5.975265063,125300
1140,49.0,6.026860787,126400
1150,49.0,6.07958579,127500
1160,50.0,6.129593655,128600
1170,50.0,6.180074202,129700
1180,52.0,6.230912682,130800
1190,51.0,6.28093882,131900
1200,50.0,6.332607924,133000
1210,50.0,6.381329927,134100
1220,50.0,6.433255558,135200
1230,51.0,6.484540805,136300
1240,51.0,6.535281953,137400
1250,51.0,6.58709272,138500
1260,52.0,6.635843461,139600
1270,51.0,6.688604352,140700
1280,50.0,6.738687746,141800
1290,52.0,6.792649459,142900
1300,56.0,6.843334303,144000
1310,61.0,6.898524997,145100
1320,52.0,6.949109065,146200
1330,51.0,7.001878986,147300
1340,52.0,7.053351086,148400
1350,50.0,7.102456727,149500
1360,50.0,7.153372114,150600
1370,51.0,7.203035117,151700
1380,51.0,7.254726158,152800
1390,51.0,7.304893582,153900
1400,51.0,7.359818804,155000
1410,50.0,7.409695303,156100
1420,52.0,7.460694254,157200
1430,52.0,7.510481804,158300
1440,51.0,7.561476766,159400
1450,50.0,7.613388695,160500
1460,50.0,7.66316596,161600
1470,51.0,7.714182822,162700
1480,51.0,7.765591281,163800
1490,52.0,7.816763417,164900
1500,52.0,7.867395271,166000
1510,52.0,7.920626524,167100
1520,52.0,7.970597589,168200
1530,51.0,8.020632443,169300
1540,51.0,8.071205795,170400
1550,51.0,8.121770924,171500
1560,52.0,8.17300797,172600
1570,51.0,8.222864694,173700
1580,52.0,8.275179264,174800
1590,51.0,8.33479603,175900
1600,56.0,8.38736699,177000
1610,51.0,8.4376438,178100
1620,51.0,8.489739406,179200
1630,60.0,8.54098892,180300
1640,52.0,8.591536275,181400
1650,51.0,8.643419618,182500
1660,52.0,8.694276925,183600
1670,51.0,8.745108569,184700
1680,51.0,8.794137228,185800
1690,52.0,8.848626804,186900
1700,52.0,8.900973356,188000
1710,57.0,8.952244962,189100
1720,51.0,9.002635668,190200
1730,51.0,9.05335507,191300
1740,50.0,9.104112817,192400
1750,52.0,9.153765202,193500
1760,50.0,9.204978134,194600
1770,51.0,9.258540902,195700
1780,51.0,9.310192615,196800
1790,51.0,9.359289679,197900
1800,51.0,9.409298574,199000
1810,60.0,9.460450097,200100
1820,50.0,9.509894678,201200
1830,50.0,9.560683902,202300
1840,51.0,9.610290477,203400
1850,51.0,9.662870461,204500
1860,51.0,9.71271069,205600
1870,51.0,9.76338743,206700
1880,60.0,9.812420422,207800
1890,52.0,9.863998177,208900
1900,51.0,9.914765437,210000
1910,51.0,9.974807047,211100
1920,52.0,10.0232824,212200
1930,51.0,10.071674784,213300
1940,51.0,10.123496878,214400
1950,54.0,10.173358142,215500
1960,52.0,10.224495571,216600
1970,52.0,10.273581555,217700
1980,50.0,10.32544565,218800
1990,51.0,10.377614526,219900
2000,53.0,10.427207743,221000
2010,51.0,10.477681356,222100
2020,51.0,10.527461935,223200
2030,51.0,10.579035771,224300
2040,52.0,10.628645163,225400
2050,51.0,10.679603682,226500
2060,51.0,10.729358349,227600
2070,51.0,10.777853787,228700
2080,52.0,10.832126771,229800
2090,50.0,10.883222697,230900
2100,52.0,10.933848643,232000
2110,51.0,10.983734109,233100
2120,51.0,11.035326403,234200
2130,51.0,11.085828658,235300
2140,51.0,11.136011997,236400
2150,52.0,11.186274562,237500
2160,51.0,11.235856677,238600
2170,52.0,11.287511526,239700
2180,52.0,11.339647802,240800
2190,52.0,11.392004816,241900
2200,52.0,11.442920599,243000
2210,51.0,11.493856821,244100
2220,52.0,11.54411046,245200
2230,51.0,11.597540596,246300
2240,51.0,11.647198754,247400
2250,51.0,11.698293263,248500
2260,52.0,11.747513603,249600
