iterations,fitness,time,fevals
0,17.0,0.000267665,11
10,17.0,0.000471988,21
20,17.0,0.000664819,31
30,18.0,0.000839618,41
40,18.0,0.001018659,51
50,18.0,0.001197754,61
60,22.0,0.001387681,71
70,22.0,0.001550756,81
80,22.0,0.001767595,91
90,22.0,0.001999467,101
100,22.0,0.002143922,111
110,23.0,0.002259309,121
120,23.0,0.002405711,131
130,23.0,0.002476417,141
140,23.0,0.002548943,151
150,23.0,0.003149565,161
160,23.0,0.003235923,171
170,25.0,0.003293543,181
180,25.0,0.003353696,191
190,28.0,0.003425104,201
200,28.0,0.003490929,211
210,28.0,0.003587248,221
220,28.0,0.003663437,231
230,28.0,0.003746649,241
240,28.0,0.003804847,251
250,28.0,0.003904983,261
260,30.0,0.003988699,271
270,30.0,0.004071306,281
280,30.0,0.004185881,291
290,30.0,0.004238301,301
300,30.0,0.004288033,311
310,32.0,0.004339825,321
320,32.0,0.004390507,331
330,32.0,0.004466245,341
340,33.0,0.00454825,351
350,33.0,0.004637043,361
360,33.0,0.004694011,371
370,33.0,0.004752835,381
380,33.0,0.00481263,391
390,33.0,0.004890973,401
400,33.0,0.004954325,411
410,33.0,0.004999808,421
420,33.0,0.005045085,431
430,33.0,0.005130189,441
440,33.0,0.005175753,451
450,33.0,0.005219811,461
460,33.0,0.005292877,471
470,33.0,0.005339814,481
480,33.0,0.005365128,491
490,33.0,0.005415852,501
500,33.0,0.005461208,511
510,33.0,0.005506472,521
520,34.0,0.005569214,531
530,34.0,0.00563309,541
540,34.0,0.005673931,551
550,34.0,0.005726687,561
560,34.0,0.005756017,571
570,34.0,0.00578316,581
580,34.0,0.005815306,591
590,34.0,0.005858575,601
600,34.0,0.005900055,611
610,34.0,0.005958272,621
620,34.0,0.006007251,631
630,34.0,0.006047155,641
640,34.0,0.006072625,651
650,34.0,0.00609593,661
660,34.0,0.006120517,671
670,34.0,0.006144183,681
680,34.0,0.006168504,691
690,34.0,0.00624803,701
700,36.0,0.006281736,711
710,36.0,0.006354626,721
720,36.0,0.006379165,731
730,36.0,0.006412572,741
740,36.0,0.006447342,751
750,36.0,0.00648078,761
760,36.0,0.006517095,771
770,36.0,0.006582684,781
780,36.0,0.00661422,791
790,36.0,0.006660683,801
800,36.0,0.006711582,811
810,36.0,0.006800123,821
820,36.0,0.006918305,831
830,36.0,0.007015896,841
840,36.0,0.007041591,851
850,36.0,0.007063028,861
860,36.0,0.007082283,871
870,36.0,0.007099982,881
880,36.0,0.007141691,891
890,36.0,0.007160539,901
900,36.0,0.007190146,911
910,36.0,0.007249452,921
920,36.0,0.007275987,931
930,36.0,0.00730217,941
940,36.0,0.007325692,951
950,36.0,0.007353288,961
960,36.0,0.007379888,971
970,36.0,0.007404399,981
980,36.0,0.007432495,991
990,36.0,0.007454094,1001
1000,36.0,0.007471187,1011
1010,36.0,0.00748931,1021
1020,36.0,0.007565972,1031
1030,36.0,0.007599192,1041
1040,36.0,0.007633564,1051
1050,36.0,0.007654675,1061
1060,36.0,0.007673021,1071
1070,36.0,0.007704367,1081
1080,36.0,0.007733635,1091
1090,36.0,0.007781093,1101
1100,36.0,0.00782519,1111
1110,36.0,0.007852746,1121
1120,37.0,0.007878253,1131
1130,46.0,0.00791848,1141
1140,46.0,0.007950697,1151
1150,46.0,0.007977829,1161
1160,46.0,0.008003077,1171
1170,46.0,0.008027477,1181
1180,46.0,0.008051608,1191
1190,46.0,0.00807964,1201
1200,46.0,0.008099253,1211
1210,46.0,0.0081214,1221
1220,46.0,0.008143808,1231
1230,46.0,0.008167391,1241
1240,46.0,0.008187301,1251
1250,46.0,0.008225558,1261
1260,46.0,0.008255377,1271
1270,46.0,0.00829045,1281
1280,47.0,0.008316647,1291
1290,48.0,0.008347629,1301
1300,48.0,0.008366372,1311
1310,48.0,0.008386047,1321
1320,49.0,0.008415645,1331
1330,49.0,0.008452695,1341
1340,49.0,0.008499397,1351
1350,49.0,0.008522382,1361
1360,50.0,0.008581651,1371
1370,50.0,0.008616099,1381
1380,50.0,0.008646565,1391
1390,50.0,0.008746526,1401
1400,50.0,0.008783577,1411
1410,50.0,0.008804978,1421
1420,52.0,0.008821329,1431
1430,52.0,0.008843999,1441
1440,52.0,0.008860539,1451
1450,52.0,0.008877337,1461
1460,53.0,0.008901136,1471
1470,53.0,0.008920456,1481
1480,53.0,0.008946638,1491
1490,53.0,0.008974078,1501
1500,53.0,0.009002342,1511
1510,53.0,0.009016558,1521
1520,53.0,0.0090301,1531
1530,53.0,0.009042927,1541
1540,53.0,0.009056849,1551
1550,53.0,0.00907925,1561
1560,53.0,0.009094702,1571
1570,53.0,0.009109431,1581
1580,53.0,0.009123512,1591
1590,54.0,0.00913743,1601
1600,61.0,0.009152991,1611
1610,61.0,0.009168975,1621
1620,62.0,0.009184586,1631
