iterations,fitness,time,fevals
0,573.0,10.188896726,1000
10,605.0,19.958781668,2100
20,652.0,28.476135232,3200
30,696.0,36.237435381,4300
40,714.0,44.010980362,5400
50,728.0,51.108124131,6500
60,734.0,57.896468273,7600
70,736.0,65.074787454,8700
80,740.0,71.674008513,9800
90,742.0,78.210677384,10900
100,740.0,84.700386767,12000
110,742.0,91.648528484,13100
120,742.0,98.984978535,14200
130,744.0,105.862574741,15300
140,742.0,111.965424212,16400
150,740.0,118.542083633,17500
160,740.0,124.803973957,18600
170,742.0,131.823499695,19700
180,744.0,137.871185115,20800
190,740.0,144.291579459,21900
200,742.0,150.177072884,23000
210,742.0,156.109786877,24100
220,742.0,162.134411789,25200
230,744.0,168.675952161,26300
240,742.0,174.553600229,27400
250,744.0,181.324395928,28500
260,742.0,187.451812229,29600
270,742.0,193.718795088,30700
280,742.0,199.789965522,31800
290,742.0,206.409869975,32900
300,744.0,213.327808451,34000
310,742.0,219.030188447,35100
320,742.0,224.799043167,36200
330,742.0,231.450357415,37300
340,742.0,239.875699645,38400
350,742.0,246.288126607,39500
360,740.0,253.135273111,40600
370,744.0,260.2468822,41700
380,742.0,267.10653791,42800
390,740.0,273.56930283,43900
400,744.0,280.451792053,45000
410,741.0,287.515574311,46100
420,742.0,294.372784158,47200
430,740.0,301.181642022,48300
440,742.0,308.250112194,49400
450,740.0,315.039173679,50500
460,742.0,321.692699,51600
470,741.0,328.518520413,52700
480,742.0,335.50404304,53800
490,742.0,342.28885589,54900
500,740.0,348.836445283,56000
510,740.0,355.453405328,57100
520,742.0,361.971090518,58200
530,740.0,368.467191159,59300
540,740.0,375.054562876,60400
550,742.0,381.81869107,61500
560,742.0,388.821976646,62600
570,742.0,395.366423996,63700
580,744.0,402.010230216,64800
590,744.0,408.61181325,65900
600,744.0,415.92548631,67000
610,744.0,422.573954928,68100
620,742.0,429.611336416,69200
630,742.0,436.716020503,70300
640,742.0,443.518869611,71400
650,744.0,450.019431942,72500
660,740.0,456.327924454,73600
670,746.0,462.900494521,74700
680,740.0,469.496718491,75800
690,740.0,475.838357658,76900
700,744.0,482.159239481,78000
710,740.0,488.393569953,79100
720,740.0,495.334220907,80200
730,742.0,501.763231022,81300
740,742.0,507.764488009,82400
750,742.0,513.686422605,83500
760,742.0,519.67714228,84600
770,742.0,525.621208672,85700
780,742.0,531.528501599,86800
790,740.0,537.71315359,87900
800,742.0,544.693230464,89000
810,740.0,551.416602557,90100
820,740.0,558.289831108,91200
830,742.0,564.926479596,92300
840,742.0,571.228480307,93400
850,742.0,577.566410536,94500
860,742.0,583.788482966,95600
870,743.0,589.738943443,96700
880,744.0,596.23897215,97800
890,744.0,602.940673224,98900
900,744.0,609.04768315,100000
910,745.0,615.360795312,101100
920,742.0,622.175147856,102200
930,744.0,629.444083098,103300
940,744.0,636.090260025,104400
950,744.0,642.677308756,105500
960,744.0,650.584709713,106600
970,746.0,658.133331406,107700
980,744.0,664.278811394,108800
990,744.0,670.857963362,109900
1000,746.0,677.634251206,111000
1010,744.0,684.091847972,112100
1020,744.0,690.40739676,113200
1030,744.0,696.801942908,114300
1040,744.0,703.3949826,115400
1050,744.0,709.559126206,116500
1060,744.0,715.870136943,117600
1070,742.0,721.982895994,118700
1080,744.0,727.909627285,119800
1090,746.0,733.798942648,120900
1100,742.0,739.700319178,122000
1110,748.0,745.895142686,123100
1120,744.0,751.826241915,124200
1130,744.0,757.676374585,125300
1140,742.0,763.557810436,126400
1150,746.0,770.595350018,127500
1160,744.0,776.631540582,128600
1170,743.0,782.408509921,129700
1180,746.0,788.335779901,130800
1190,744.0,794.379421473,131900
1200,746.0,800.803756527,133000
1210,744.0,807.768491797,134100
1220,742.0,814.344546299,135200
1230,744.0,821.021252433,136300
1240,742.0,826.71706035,137400
1250,743.0,832.602760212,138500
1260,742.0,838.299797908,139600
1270,744.0,844.01581967,140700
1280,746.0,850.457820861,141800
1290,744.0,856.597151139,142900
1300,742.0,862.873711897,144000
1310,744.0,869.110645796,145100
1320,742.0,875.182650227,146200
1330,744.0,880.934697812,147300
1340,744.0,886.518176975,148400
1350,744.0,892.193057578,149500
1360,746.0,897.919027509,150600
1370,748.0,903.730656993,151700
1380,746.0,909.455173704,152800
1390,744.0,915.210730485,153900
1400,748.0,920.880984315,155000
1410,744.0,926.541235084,156100
1420,746.0,932.301575152,157200
1430,746.0,937.90613245,158300
1440,746.0,943.557134106,159400
1450,744.0,949.211875482,160500
1460,744.0,954.879799946,161600
1470,746.0,960.489438112,162700
1480,746.0,966.126743218,163800
1490,744.0,971.820132205,164900
1500,748.0,977.485402386,166000
1510,748.0,983.08822308,167100
1520,746.0,988.732674446,168200
1530,746.0,994.445711965,169300
1540,748.0,1000.12932989,170400
1550,744.0,1005.90648736,171500
1560,746.0,1011.59386236,172600
1570,744.0,1017.15993395,173700
1580,748.0,1022.77000591,174800
1590,746.0,1028.3008602,175900
1600,746.0,1034.17973328,177000
1610,744.0,1039.76785423,178100
1620,746.0,1045.34314045,179200
1630,746.0,1050.98155901,180300
1640,744.0,1056.5835565,181400
1650,746.0,1062.1214144,182500
1660,746.0,1067.79793134,183600
1670,746.0,1073.44042489,184700
1680,746.0,1079.27832375,185800
1690,746.0,1084.91301513,186900
1700,744.0,1090.54345763,188000
1710,746.0,1096.10750042,189100
1720,744.0,1101.74024553,190200
1730,746.0,1107.45799624,191300
1740,746.0,1113.1592644,192400
1750,744.0,1118.96692181,193500
1760,746.0,1124.75923314,194600
1770,746.0,1130.62650027,195700
1780,748.0,1136.24147102,196800
1790,748.0,1141.91303926,197900
1800,749.0,1147.54497473,199000
1810,748.0,1153.23082346,200100
1820,748.0,1158.90602928,201200
1830,748.0,1164.55502493,202300
1840,748.0,1170.24867566,203400
1850,748.0,1175.85547283,204500
1860,746.0,1181.53862737,205600
1870,747.0,1187.115603,206700
1880,748.0,1192.77562462,207800
1890,748.0,1198.44645394,208900
1900,748.0,1204.22082619,210000
1910,748.0,1209.93528224,211100
1920,748.0,1215.61511724,212200
1930,746.0,1221.30227987,213300
1940,748.0,1226.88285503,214400
1950,746.0,1232.54600876,215500
1960,746.0,1238.17671446,216600
1970,750.0,1244.20392809,217700
1980,748.0,1249.90813171,218800
1990,748.0,1255.55047091,219900
2000,746.0,1261.20258527,221000
2010,748.0,1266.86923225,222100
2020,748.0,1272.48745403,223200
2030,748.0,1278.17967827,224300
2040,746.0,1283.83322805,225400
2050,748.0,1289.5019621,226500
2060,748.0,1295.18464147,227600
2070,746.0,1300.91616276,228700
2080,748.0,1306.54806762,229800
2090,748.0,1312.2031559,230900
2100,750.0,1317.925278,232000
2110,746.0,1323.61880568,233100
2120,748.0,1329.34260273,234200
2130,746.0,1335.00676876,235300
2140,750.0,1340.62538534,236400
2150,749.0,1346.14618772,237500
2160,748.0,1351.85333313,238600
2170,748.0,1357.60373688,239700
2180,748.0,1363.30193344,240800
2190,750.0,1368.93164511,241900
2200,748.0,1374.5710847,243000
2210,748.0,1380.23672594,244100
2220,748.0,1385.88007185,245200
2230,750.0,1391.45369171,246300
2240,750.0,1397.13735094,247400
2250,748.0,1402.85032632,248500
2260,748.0,1408.50240558,249600
2270,750.0,1414.21343398,250700
2280,748.0,1419.80567084,251800
2290,748.0,1425.56356236,252900
2300,748.0,1431.08833774,254000
2310,746.0,1436.9746089,255100
2320,748.0,1442.62429074,256200
2330,748.0,1448.25170386,257300
2340,748.0,1453.93693733,258400
2350,748.0,1459.90619952,259500
2360,748.0,1465.70572904,260600
2370,748.0,1471.44016038,261700
2380,748.0,1477.13450607,262800
2390,748.0,1482.87456724,263900
2400,750.0,1488.5285033,265000
2410,748.0,1494.21919293,266100
2420,746.0,1500.3380938,267200
2430,749.0,1509.11736197,268300
2440,746.0,1515.22877054,269400
2450,748.0,1521.43366278,270500
2460,748.0,1528.02647152,271600
2470,748.0,1534.2513766,272700
2480,748.0,1540.40136541,273800
2490,748.0,1546.59483053,274900
2500,748.0,1552.55971799,276000
2510,750.0,1558.55243384,277100
2520,748.0,1564.42320685,278200
2530,750.0,1570.59559409,279300
2540,748.0,1576.66865498,280400
2550,748.0,1582.7262538,281500
2560,748.0,1588.66015602,282600
2570,747.0,1594.71479825,283700
2580,748.0,1600.85982715,284800
2590,746.0,1606.99062541,285900
2600,748.0,1612.96471687,287000
2610,748.0,1619.13281212,288100
2620,746.0,1625.10074451,289200
2630,748.0,1631.05392197,290300
2640,748.0,1636.98816256,291400
2650,750.0,1642.84634944,292500
2660,748.0,1648.66471301,293600
2670,748.0,1654.51017354,294700
