iterations,fitness,time,fevals
0,503.0,2.6746e-05,11
10,503.0,4.8899e-05,21
20,505.0,6.856e-05,31
30,511.0,9.0822e-05,41
40,513.0,0.000109494,51
50,513.0,0.000133496,61
60,513.0,0.000156995,71
70,517.0,0.000178597,81
80,517.0,0.00019935,91
90,519.0,0.000220234,101
100,521.0,0.000239426,111
110,523.0,0.000262317,121
120,523.0,0.000284213,131
130,525.0,0.00030442,141
140,529.0,0.000324042,151
150,531.0,0.00034487,161
160,533.0,0.000366048,171
170,535.0,0.000386859,181
180,537.0,0.000418834,191
190,537.0,0.000443151,201
200,541.0,0.000466101,211
210,541.0,0.000488358,221
220,541.0,0.000510162,231
230,541.0,0.000530945,241
240,543.0,0.000551616,251
250,543.0,0.000575752,261
260,543.0,0.000598859,271
270,547.0,0.000621443,281
280,547.0,0.00064526,291
290,547.0,0.000667648,301
300,549.0,0.00069108,311
310,551.0,0.000716071,321
320,551.0,0.000742044,331
330,559.0,0.000767432,341
340,565.0,0.000791684,351
350,565.0,0.000820257,361
360,565.0,0.000845991,371
370,567.0,0.000869865,381
380,567.0,0.000892979,391
390,569.0,0.000915086,401
400,571.0,0.000940531,411
410,573.0,0.000958979,421
420,573.0,0.000981051,431
430,577.0,0.001001277,441
440,581.0,0.001020797,451
450,581.0,0.001044503,461
460,585.0,0.001064576,471
470,585.0,0.001085898,481
480,587.0,0.001108346,491
490,591.0,0.001131448,501
500,591.0,0.00115705,511
510,595.0,0.001181153,521
520,597.0,0.001202752,531
530,603.0,0.001227465,541
540,605.0,0.00125065,551
550,605.0,0.001274659,561
560,609.0,0.001296557,571
570,613.0,0.001315563,581
580,613.0,0.001335524,591
590,613.0,0.001354612,601
600,613.0,0.001373635,611
610,615.0,0.001394488,621
620,615.0,0.001433557,631
630,617.0,0.001461636,641
640,621.0,0.001489791,651
650,621.0,0.001522727,661
660,621.0,0.001564333,671
670,621.0,0.001588564,681
680,621.0,0.001612219,691
690,625.0,0.001640622,701
700,627.0,0.001671106,711
710,627.0,0.001716371,721
720,629.0,0.001747916,731
730,629.0,0.00177808,741
740,629.0,0.001825441,751
750,629.0,0.001890422,761
760,631.0,0.001927932,771
770,631.0,0.001958699,781
780,633.0,0.001988524,791
790,633.0,0.002059046,801
800,633.0,0.002123388,811
810,633.0,0.002175987,821
820,633.0,0.002222497,831
830,633.0,0.002268008,841
840,633.0,0.002312879,851
850,633.0,0.002332476,861
860,633.0,0.002351842,871
870,633.0,0.002371068,881
880,635.0,0.002390749,891
890,635.0,0.002423593,901
900,637.0,0.002452386,911
910,637.0,0.002479295,921
920,637.0,0.002499078,931
930,639.0,0.002519004,941
940,639.0,0.002546841,951
950,639.0,0.002570251,961
960,643.0,0.002591885,971
970,647.0,0.002613069,981
980,651.0,0.002634799,991
990,651.0,0.002656786,1001
1000,653.0,0.002681231,1011
1010,655.0,0.002705837,1021
1020,655.0,0.002727332,1031
1030,657.0,0.002748317,1041
1040,657.0,0.002771155,1051
1050,659.0,0.002793077,1061
1060,661.0,0.00281508,1071
1070,661.0,0.002837639,1081
1080,661.0,0.00286265,1091
1090,661.0,0.002885067,1101
1100,661.0,0.002904595,1111
1110,661.0,0.002924117,1121
1120,663.0,0.007665486,1131
1130,665.0,0.007697065,1141
1140,667.0,0.007721294,1151
1150,667.0,0.007753675,1161
1160,667.0,0.007785341,1171
1170,667.0,0.007817912,1181
1180,669.0,0.00785231,1191
1190,669.0,0.00788574,1201
1200,669.0,0.007964092,1211
1210,669.0,0.007990951,1221
1220,669.0,0.008017336,1231
1230,669.0,0.008042215,1241
1240,669.0,0.008069394,1251
1250,669.0,0.008092222,1261
1260,669.0,0.008115099,1271
1270,671.0,0.008137294,1281
1280,671.0,0.008160238,1291
1290,671.0,0.008182042,1301
1300,671.0,0.008202903,1311
1310,671.0,0.008231958,1321
1320,673.0,0.008255672,1331
1330,673.0,0.008288537,1341
1340,673.0,0.008320575,1351
1350,675.0,0.008351494,1361
1360,677.0,0.008385812,1371
1370,677.0,0.008413749,1381
1380,677.0,0.00843918,1391
1390,679.0,0.00846758,1401
1400,681.0,0.008512996,1411
1410,683.0,0.008545519,1421
1420,685.0,0.008568197,1431
1430,685.0,0.008599113,1441
1440,687.0,0.008631231,1451
1450,687.0,0.00866924,1461
1460,687.0,0.008704221,1471
1470,687.0,0.008744783,1481
1480,687.0,0.008784914,1491
1490,689.0,0.008821281,1501
1500,689.0,0.008857169,1511
1510,689.0,0.008887228,1521
1520,689.0,0.008914759,1531
1530,689.0,0.008993189,1541
1540,689.0,0.009044045,1551
1550,689.0,0.009090789,1561
1560,689.0,0.009134762,1571
1570,691.0,0.009179449,1581
1580,691.0,0.009221743,1591
1590,693.0,0.009277298,1601
1600,695.0,0.009297243,1611
1610,695.0,0.009339707,1621
1620,697.0,0.009360999,1631
1630,697.0,0.009384449,1641
1640,697.0,0.009404215,1651
1650,697.0,0.009423319,1661
1660,697.0,0.009443847,1671
1670,699.0,0.009463509,1681
1680,701.0,0.009482806,1691
1690,701.0,0.009502,1701
1700,701.0,0.009520901,1711
1710,701.0,0.009539729,1721
1720,703.0,0.009559477,1731
1730,707.0,0.009587827,1741
1740,707.0,0.009614038,1751
1750,707.0,0.009633968,1761
1760,707.0,0.009653994,1771
1770,709.0,0.009674327,1781
1780,709.0,0.00969372,1791
1790,709.0,0.009713037,1801
1800,710.0,0.009732032,1811
1810,710.0,0.009751283,1821
1820,712.0,0.009770424,1831
1830,712.0,0.009789796,1841
1840,714.0,0.009809868,1851
1850,716.0,0.009831821,1861
1860,718.0,0.009850689,1871
1870,718.0,0.009870006,1881
1880,718.0,0.0098898,1891
1890,718.0,0.009909382,1901
1900,720.0,0.00992915,1911
1910,722.0,0.009948898,1921
1920,722.0,0.009967953,1931
1930,724.0,0.009987957,1941
1940,724.0,0.010008755,1951
1950,724.0,0.010029726,1961
1960,724.0,0.010050835,1971
1970,724.0,0.010070992,1981
1980,724.0,0.010102286,1991
1990,724.0,0.010123335,2001
2000,726.0,0.010143415,2011
2010,726.0,0.010164946,2021
2020,728.0,0.010185342,2031
2030,728.0,0.010204881,2041
2040,728.0,0.010224028,2051
2050,730.0,0.010243449,2061
2060,730.0,0.010263375,2071
2070,730.0,0.010289526,2081
2080,732.0,0.010311829,2091
2090,734.0,0.010335025,2101
2100,734.0,0.01035957,2111
2110,734.0,0.010384413,2121
2120,734.0,0.010410939,2131
2130,734.0,0.010437103,2141
2140,734.0,0.010458919,2151
2150,736.0,0.010482366,2161
2160,736.0,0.010504825,2171
2170,736.0,0.010526008,2181
2180,736.0,0.010552334,2191
2190,736.0,0.01057442,2201
2200,736.0,0.010594918,2211
2210,736.0,0.010615188,2221
2220,736.0,0.010640372,2231
2230,736.0,0.01066209,2241
2240,738.0,0.010683281,2251
2250,740.0,0.010713137,2261
2260,740.0,0.010735753,2271
2270,740.0,0.010759487,2281
2280,740.0,0.010785849,2291
2290,740.0,0.010808057,2301
2300,740.0,0.010836017,2311
2310,740.0,0.010867855,2321
2320,740.0,0.01089671,2331
2330,740.0,0.010924682,2341
2340,740.0,0.010954401,2351
2350,740.0,0.010991137,2361
2360,740.0,0.011041265,2371
2370,740.0,0.011074528,2381
2380,740.0,0.011103243,2391
2390,740.0,0.011132236,2401
2400,744.0,0.011153789,2411
2410,744.0,0.011174564,2421
2420,744.0,0.011195419,2431
2430,744.0,0.0112158,2441
2440,744.0,0.011237052,2451
2450,746.0,0.01125849,2461
