iterations,fitness,time,fevals
0,0.0193952854848,1.08550011646e-05,11
10,0.0189228544872,2.8481001209e-05,21
20,0.0189632820426,4.51330015494e-05,31
30,0.0192349091459,5.64870006201e-05,41
40,0.0202383171902,6.74220009387e-05,51
50,0.0203849659041,7.89610021457e-05,61
60,0.0210082077402,9.03690015548e-05,71
70,0.0212136255392,0.000102143001641,81
80,0.0212726527657,0.000120369000797,91
90,0.0221251800517,0.000138938001328,101
100,0.023124524387,0.000150628000483,111
110,0.0242547334208,0.00016578800205,121
120,0.0247727163471,0.00017776200184,131
130,0.0256735010512,0.000189694002984,141
140,0.0259694098788,0.000201394002943,151
150,0.0259706293361,0.000213681003515,161
160,0.0262607312618,0.000225182002396,171
170,0.0262615877538,0.000237430002016,181
180,0.0268409288407,0.000248327001827,191
190,0.0270706515787,0.000260955001067,201
200,0.0274987146376,0.000273325000308,211
210,0.0282265513452,0.000288103999992,221
220,0.0287038750366,0.00030119999974,231
230,0.0287403030401,0.000318866999805,241
240,0.029131948867,0.000330955999743,251
250,0.0292488488922,0.000348704999851,261
260,0.0292488488922,0.000366573000065,271
270,0.029841010333,0.000379459999749,281
280,0.0303832991792,0.00039679800102,291
290,0.0312086963082,0.000416566999775,301
300,0.0312086963082,0.000434568000856,311
310,0.0315662981166,0.000447439000709,321
320,0.0316089408437,0.000464172002467,331
330,0.0316089408437,0.000477814002807,341
340,0.0319479317019,0.000495824002428,351
350,0.0326605410338,0.000514577002832,361
360,0.0326605410338,0.000531637002496,371
370,0.0333178749428,0.000551237002583,381
380,0.0333178749428,0.000563644001886,391
390,0.033716917613,0.000575348001803,401
400,0.0340487124602,0.000590008001382,411
410,0.0340936678413,0.000608266000199,421
420,0.0345654635162,0.00062538200109,431
430,0.0345654635162,0.000642237002467,441
440,0.0346646920402,0.000654448002024,451
450,0.0346646920402,0.000667181002427,461
460,0.0346646920402,0.000686521001626,471
470,0.0346646920402,0.00069940800131,481
480,0.034739728932,0.000717702001566,491
490,0.0354612618369,0.000734740002372,501
500,0.035593481801,0.000753371001338,511
510,0.035593481801,0.000771060000261,521
520,0.035715434617,0.00078276700151,531
530,0.035715434617,0.000800130001153,541
540,0.036155036104,0.000812303002022,551
550,0.036155036104,0.000825162002002,561
560,0.0365209798733,0.000836886001707,571
570,0.0365209798733,0.000851539001815,581
580,0.0365209798733,0.000869651001267,591
590,0.0366253317653,0.000881605001268,601
600,0.0376031799416,0.000893303000339,611
610,0.0376031799416,0.000905507000425,621
620,0.037604879813,0.000920151001992,631
630,0.037604879813,0.000937545002671,641
640,0.0377103458374,0.000955622002948,651
650,0.0378212676121,0.000968065001871,661
660,0.0378212676121,0.000980451000942,671
670,0.0382218053689,0.000991863000309,681
680,0.0382218053689,0.00100418199872,691
690,0.0382218053689,0.00101949999953,701
700,0.0382218053689,0.00103481299993,711
710,0.0382218053689,0.00105624299977,721
720,0.0387111723535,0.00107267699968,731
730,0.0387111723535,0.0010926319992,741
740,0.0387946725778,0.00110856199899,751
750,0.0387946725778,0.00112703599916,761
760,0.0391581441906,0.00114215399844,771
770,0.0392162126631,0.001160075999,781
780,0.0392162126631,0.00117680899893,791
790,0.0392839037699,0.00119849600014,801
800,0.0401211270663,0.00121507899894,811
810,0.0403713498958,0.00123338199955,821
820,0.0403713498958,0.00124993700047,831
830,0.0405081803228,0.00127211899962,841
840,0.0405081803228,0.00128874899929,851
850,0.0405081803228,0.00131161599893,861
860,0.0405081803228,0.00132871899768,871
870,0.0405081803228,0.0013476139975,881
880,0.0409190587817,0.00136380199729,891
890,0.0409190587817,0.00138276099824,901
900,0.0409190587817,0.00139915899854,911
910,0.0409190587817,0.00141772199822,921
920,0.0409190587817,0.00143430999742,931
930,0.0409190587817,0.00145303699719,941
940,0.0409190587817,0.00146966699685,951
950,0.0411583186712,0.00148750499648,961
960,0.0411583186712,0.00150387999747,971
970,0.042538515728,0.00152184499711,981
980,0.0425909767959,0.00153787399722,991
990,0.0426724990095,0.00155386099686,1001
1000,0.0426903136841,0.00156990299547,1011
1010,0.0427252913258,0.00158710599499,1021
1020,0.0427252913258,0.00160370999583,1031
1030,0.0427252913258,0.0016226619955,1041
1040,0.0427252913258,0.00164531199516,1051
1050,0.0427252913258,0.00168182099515,1061
1060,0.0427252913258,0.00170020399491,1071
1070,0.0427252913258,0.0017176259953,1081
1080,0.0431041423016,0.00173511899629,1091
1090,0.0431991598014,0.00175180199585,1101
1100,0.0432029075988,0.00176990799446,1111
1110,0.0432029075988,0.00178730999323,1121
1120,0.0432318818173,0.00180487699436,1131
1130,0.0432318818173,0.00182242899609,1141
1140,0.0432318818173,0.00185647499529,1151
1150,0.0434053366574,0.00187358699441,1161
1160,0.0434053366574,0.00189205499373,1171
1170,0.0434053366574,0.00190993899378,1181
1180,0.0434459829023,0.00192773599338,1191
1190,0.0436446399645,0.00194466399262,1201
1200,0.0438314542816,0.00196244899234,1211
1210,0.0438314542816,0.00198117999207,1221
1220,0.0438314542816,0.00199850399258,1231
1230,0.0438314542816,0.00202570999136,1241
1240,0.0438314542816,0.00204375399153,1251
1250,0.0438314542816,0.00206129099206,1261
1260,0.0438314542816,0.00207978499202,1271
1270,0.0440612914025,0.00209628299308,1281
1280,0.0440612914025,0.00211419999323,1291
1290,0.0440612914025,0.002131722993,1301
1300,0.0440612914025,0.00214874499397,1311
1310,0.0440612914025,0.00216598999396,1321
1320,0.0440612914025,0.00218290999328,1331
1330,0.0440612914025,0.00219988699428,1341
1340,0.0440612914025,0.00221745299496,1351
1350,0.0440612914025,0.00223471799472,1361
1360,0.0440612914025,0.00225177099492,1371
