problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",86.0,5000,0.005856386,5011.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",96.0,3160,14.345962687,348600.0
CONTPEAKS,SA,"['0.55']",99.0,4430,0.004835435,4441.0
CONTPEAKS,GA,"['100', '50', '30']",98.0,4420,0.19441859,279336.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",836.0,2090,1408.40425512,230900.0
FLIPFLOP,GA,"['100', '50', '50']",610.0,2060,0.929309156,144509.0
FLIPFLOP,SA,"['0.55']",782.0,2880,0.007341998000000001,2891.0
FLIPFLOP,RHC,"[]",752.0,2950,0.007124636,2961.0
NN,SA,"['/NN', 'SA', '0.9']",0.385304804199,500,42.465308465,0
NN,GA,"['/NN', 'GA', '50', '10', '2']",0.41851752742799997,0,3.0933867289999997,0
NN,Backprop,"['/NN', 'Backpro']",0.590942028986,90,21.866252418000002,0
NN,RHC,"['/NN', 'RH']",0.386477327739,0,0.11899788800000001,0
TSP,SA,"['0.15']",0.0601267870587,2990,0.00596644198049,3001.0
TSP,GA,"['100', '50', '10']",0.111393056898,420,0.107196917006,23644.0
TSP,MIMIC,"['100', '50', '0.1']",0.037137683336999995,2890,409.036104542,318900.0
TSP,RHC,"[]",0.052187844778199995,2990,0.005135406019689999,3001.0
