k,GMM,Kmeans
2,0.750102082482646,0.750102082482646
3,0.750102082482646,0.750102082482646
4,0.750102082482646,0.750102082482646
5,0.750102082482646,0.750102082482646
6,0.7558187015108208,0.7533687219273173
7,0.7623519804001634,0.750102082482646
8,0.750102082482646,0.7578603511637403
9,0.7586770110249081,0.754185381788485
10,0.7586770110249081,0.7578603511637403
15,0.7942017149857085,0.7701102490812577
20,0.7786851776235199,0.7950183748468763
25,0.7884850959575337,0.7921600653327889
30,0.7864434463046142,0.7950183748468763
35,0.7725602286647612,0.7880767660269498
40,0.7831768068599428,0.7966516945692119
