k,type,score,label
2,Kmeans,0.095909,0
2,Kmeans,0.032566,0
2,Kmeans,0.030702,0
2,Kmeans,0.1136,0
2,Kmeans,0.150263,1
2,Kmeans,0.042365,0
2,Kmeans,0.07155,0
2,Kmeans,0.081429,0
2,Kmeans,0.05197,0
2,Kmeans,0.179677,1
2,Kmeans,0.033457,0
2,Kmeans,0.143738,1
2,Kmeans,0.159502,1
2,Kmeans,0.077437,0
2,Kmeans,0.140704,1
2,Kmeans,0.064163,0
2,Kmeans,0.0842,0
2,Kmeans,0.088496,1
2,Kmeans,0.084621,0
2,Kmeans,0.084495,1
2,Kmeans,0.102603,0
2,Kmeans,-0.013932,0
2,Kmeans,0.111341,1
2,Kmeans,0.028283,0
2,Kmeans,0.0161,0
2,Kmeans,0.035428,0
2,Kmeans,0.104659,1
2,Kmeans,0.050224,1
2,Kmeans,0.109894,1
2,Kmeans,0.071093,1
2,Kmeans,0.057281,0
2,Kmeans,0.12853,1
2,Kmeans,0.102698,0
2,Kmeans,0.050372,0
2,Kmeans,0.116321,1
2,Kmeans,0.13202,1
2,Kmeans,0.011192,0
2,Kmeans,0.163066,1
2,Kmeans,0.146028,1
2,Kmeans,0.107795,0
2,Kmeans,0.168236,1
2,Kmeans,0.069506,0
2,Kmeans,0.082901,1
2,Kmeans,0.120085,1
2,Kmeans,0.08583,0
2,Kmeans,0.106471,1
2,Kmeans,0.067899,1
2,Kmeans,0.073216,0
2,Kmeans,0.143733,1
2,Kmeans,0.116605,0
2,Kmeans,0.05161,1
2,Kmeans,0.111803,1
2,Kmeans,0.134009,1
2,Kmeans,0.094174,0
2,Kmeans,0.077089,0
2,Kmeans,0.156797,1
2,Kmeans,0.156199,1
2,Kmeans,0.068486,0
2,Kmeans,0.074534,0
2,Kmeans,0.117433,0
2,Kmeans,0.055309,0
2,Kmeans,-0.011064,0
2,Kmeans,0.096851,1
2,Kmeans,0.040043,0
2,Kmeans,0.022675,0
2,Kmeans,0.024042,0
2,Kmeans,0.059331,0
2,Kmeans,0.143958,1
2,Kmeans,0.08215,0
2,Kmeans,0.032399,0
2,Kmeans,0.017814,0
2,Kmeans,0.02552,0
2,Kmeans,0.052109,0
2,Kmeans,0.023262,0
2,Kmeans,0.163788,1
2,Kmeans,0.001371,0
2,Kmeans,0.028636,1
2,Kmeans,0.039492,0
2,Kmeans,0.096308,1
2,Kmeans,0.015607,0
2,Kmeans,0.114884,0
2,Kmeans,0.128635,1
2,Kmeans,0.089648,0
2,Kmeans,0.090408,1
2,Kmeans,0.095148,1
2,Kmeans,0.170776,1
2,Kmeans,0.16293,1
2,Kmeans,0.127656,1
2,Kmeans,0.029907,0
2,Kmeans,-0.033161,0
2,Kmeans,0.144878,1
2,Kmeans,0.126406,1
2,Kmeans,0.007157,0
2,Kmeans,0.041593,0
2,Kmeans,0.039176,0
2,Kmeans,0.009338,0
2,Kmeans,0.031904,1
2,Kmeans,0.12833,1
2,Kmeans,0.086336,1
2,Kmeans,0.051177,0
2,Kmeans,0.108805,0
2,Kmeans,0.067302,0
2,Kmeans,-0.000994,0
2,Kmeans,0.124175,1
2,Kmeans,0.035556,0
2,Kmeans,0.046022,0
2,Kmeans,0.051873,0
2,Kmeans,0.105645,1
2,Kmeans,-0.00863,0
2,Kmeans,0.031325,0
2,Kmeans,0.015793,0
2,Kmeans,0.161982,1
2,Kmeans,0.038808,0
2,Kmeans,0.092361,1
2,Kmeans,0.0352,1
2,Kmeans,0.16956,1
2,Kmeans,0.103803,1
2,Kmeans,0.054825,0
2,Kmeans,0.073688,1
2,Kmeans,0.06401,0
2,Kmeans,0.060603,0
2,Kmeans,0.060836,1
2,Kmeans,0.013467,0
2,Kmeans,0.059933,0
2,Kmeans,0.076926,1
2,Kmeans,0.146185,1
2,Kmeans,0.159536,1
2,Kmeans,0.045416,0
2,Kmeans,0.075033,1
2,Kmeans,0.080866,1
2,Kmeans,0.154718,1
2,Kmeans,0.148205,1
2,Kmeans,0.144886,1
2,Kmeans,0.00525,0
2,Kmeans,0.119759,1
2,Kmeans,0.066302,0
2,Kmeans,0.114092,1
2,Kmeans,-0.006753,0
2,Kmeans,0.114534,1
2,Kmeans,0.116385,1
2,Kmeans,-0.010631,0
2,Kmeans,0.051297,0
2,Kmeans,0.122004,1
2,Kmeans,0.03191,0
2,Kmeans,0.06596,1
2,Kmeans,0.057737,1
2,Kmeans,0.162417,1
2,Kmeans,0.031635,0
2,Kmeans,0.137146,1
2,Kmeans,0.019215,0
2,Kmeans,0.119557,1
