k,GMM,Kmeans
2,0.8856676194365047,0.8856676194365047
3,0.8856676194365047,0.8856676194365047
4,0.8856676194365047,0.8856676194365047
5,0.8856676194365047,0.8856676194365047
6,0.8856676194365047,0.8856676194365047
7,0.8856676194365047,0.8856676194365047
8,0.8856676194365047,0.893425888117599
9,0.8856676194365047,0.897917517354022
10,0.8856676194365047,0.8991425071457738
15,0.8856676194365047,0.8971008574928542
20,0.8856676194365047,0.8962841976316864
25,0.8856676194365047,0.8954675377705186
30,0.8860759493670886,0.897917517354022
35,0.8889342588811759,0.8958758677011025
40,0.8860759493670886,0.8966925275622704
