k,GMM,Kmeans
2,0.01664475611712078,0.0004949411856404486
3,0.01474817650909862,0.00423042473707945
4,0.010527961472223629,0.0028534022390176916
5,0.013305729010543913,0.008062346636883936
6,0.012110450043312817,0.004174232592122829
7,0.012374145758702597,0.007525041278955607
8,0.01432704596111933,0.018078575097322965
9,0.018016621344796466,0.018659637301299384
10,0.01649242056550266,0.019149341993540382
15,0.013424910025087132,0.01458775517391467
20,0.01204339986237078,0.01230367126926627
25,0.01273940874667883,0.011686954575688831
30,0.013393405325319066,0.012341420268978692
35,0.0123028526928086,0.012661846311120216
40,0.011366878423993752,0.012159053750919213
