k,GMM,Kmeans
2,0.10996295502500285,0.08969512741098935
3,0.02678703898886841,0.11976858057051923
4,0.052472934820968556,0.15188683157544913
5,0.062170969736274104,0.1704065237496059
6,0.0846429669605972,0.18900659464361988
7,0.1392795733248672,0.19010664687831472
8,0.12472381302340355,0.18379990872693386
9,0.11321994169889837,0.18869890818782523
10,0.10871866619439405,0.1795991779208823
15,0.12165101670083987,0.20599400758748543
20,0.1322969207033436,0.19684145239524256
25,0.1293059098343608,0.19294559240756598
30,0.14203446190892302,0.1963274365425582
35,0.1612178190028665,0.20217434568318476
40,0.167707852273024,0.20182120092056513
