k,GMM,Kmeans
2,0.750102082482646,0.750102082482646
3,0.750102082482646,0.750102082482646
4,0.750102082482646,0.750102082482646
5,0.750102082482646,0.777868517762352
6,0.750102082482646,0.7827684769293589
7,0.8027766435279706,0.7782768476929359
8,0.750102082482646,0.7995100040832993
9,0.7978766843609637,0.8003266639444672
10,0.8027766435279706,0.8035933033891384
15,0.7950183748468763,0.8158432013066558
20,0.8015516537362188,0.8117599020008167
25,0.7958350347080441,0.8044099632503062
30,0.7995100040832993,0.8109432421396489
35,0.8109432421396489,0.8138015516537362
40,0.810126582278481,0.8117599020008167
