k,type,score,label
2,Kmeans,0.125162,1
2,Kmeans,0.162565,1
2,Kmeans,0.176853,0
2,Kmeans,0.116214,1
2,Kmeans,0.11338,1
2,Kmeans,0.270646,1
2,Kmeans,0.217987,0
2,Kmeans,0.156621,1
2,Kmeans,0.318439,0
2,Kmeans,0.151659,1
2,Kmeans,0.144544,1
2,Kmeans,0.070302,1
2,Kmeans,0.200171,0
2,Kmeans,0.065596,1
2,Kmeans,0.319876,0
2,Kmeans,0.148157,1
2,Kmeans,0.315327,0
2,Kmeans,0.32396,0
2,Kmeans,0.321061,0
2,Kmeans,0.272948,1
2,Kmeans,0.211708,0
2,Kmeans,0.084838,0
2,Kmeans,0.184233,0
2,Kmeans,0.227928,0
2,Kmeans,0.140462,0
2,Kmeans,0.306592,0
2,Kmeans,0.279841,1
2,Kmeans,0.01689,1
2,Kmeans,0.12758,1
2,Kmeans,0.263265,1
2,Kmeans,0.337622,0
2,Kmeans,0.063085,1
2,Kmeans,0.121541,0
2,Kmeans,0.107647,0
2,Kmeans,0.170401,1
2,Kmeans,0.082346,1
2,Kmeans,0.297724,0
2,Kmeans,0.029863,1
2,Kmeans,0.257313,1
2,Kmeans,0.20766,1
2,Kmeans,0.247272,1
2,Kmeans,0.056703,0
2,Kmeans,0.233143,1
2,Kmeans,0.258293,0
2,Kmeans,0.054253,0
2,Kmeans,0.038511,1
2,Kmeans,0.037235,1
2,Kmeans,0.168719,0
2,Kmeans,0.153907,1
2,Kmeans,0.056622,0
2,Kmeans,0.287071,0
2,Kmeans,0.168434,1
2,Kmeans,0.311648,0
2,Kmeans,0.234809,0
2,Kmeans,0.187843,0
2,Kmeans,0.154574,1
2,Kmeans,0.098495,1
2,Kmeans,0.080134,1
2,Kmeans,0.246333,0
2,Kmeans,0.28517,1
2,Kmeans,0.146408,1
2,Kmeans,0.264792,1
2,Kmeans,0.185489,0
2,Kmeans,0.168585,0
2,Kmeans,0.107388,0
2,Kmeans,0.304025,0
2,Kmeans,0.155198,0
2,Kmeans,0.305695,0
2,Kmeans,0.207657,1
2,Kmeans,0.30243,0
2,Kmeans,0.294515,0
2,Kmeans,0.314215,0
2,Kmeans,0.194396,1
2,Kmeans,0.110553,1
2,Kmeans,-0.018789,1
2,Kmeans,0.026582,1
2,Kmeans,0.303669,0
2,Kmeans,0.18672,0
2,Kmeans,0.274576,0
2,Kmeans,0.144395,1
2,Kmeans,0.089872,1
2,Kmeans,0.124696,1
2,Kmeans,0.28896,0
2,Kmeans,0.259814,0
2,Kmeans,0.219599,0
2,Kmeans,0.080098,0
2,Kmeans,0.308547,0
2,Kmeans,0.214933,0
2,Kmeans,0.098422,0
2,Kmeans,0.286252,0
2,Kmeans,0.19397,0
2,Kmeans,0.265651,0
2,Kmeans,0.042988,0
2,Kmeans,0.284054,1
