k,GMM,Kmeans
2,0.24916446726038105,0.18228003308832816
3,0.1388093132971112,0.18907813420280004
4,0.14822216172196784,0.20693143626678828
5,0.15837027013128782,0.20592676263798396
6,0.14725465680626657,0.21603632344501134
7,0.12033056835218141,0.2197896746144839
8,0.12622953538015816,0.21752772105795148
9,0.12908302246024228,0.22443842194541044
10,0.11873691981127406,0.21815302317732532
15,0.09585099237027975,0.22701886610040253
20,0.1188298320835982,0.2378264658477359
25,0.06680856543342001,0.20738901551389732
30,0.06390151094491632,0.21624439767671733
35,0.10967276830628292,0.20646036855511996
40,0.08950573159735409,0.21073388311669877
