k,type,score,label
2,Kmeans,0.156604,0
2,Kmeans,0.233658,0
2,Kmeans,0.314683,1
2,Kmeans,0.29003,0
2,Kmeans,0.260341,0
2,Kmeans,0.305895,1
2,Kmeans,0.186591,0
2,Kmeans,0.186474,0
2,Kmeans,0.121966,1
2,Kmeans,0.314957,0
2,Kmeans,0.255092,0
2,Kmeans,0.326314,0
2,Kmeans,0.168645,0
2,Kmeans,0.098968,0
2,Kmeans,0.158137,0
2,Kmeans,0.309689,0
2,Kmeans,0.158732,0
2,Kmeans,0.153277,1
2,Kmeans,0.259271,1
2,Kmeans,0.10808,0
2,Kmeans,0.294807,1
2,Kmeans,0.182203,1
2,Kmeans,0.277061,0
2,Kmeans,0.321815,0
2,Kmeans,0.259657,1
2,Kmeans,0.131304,1
2,Kmeans,0.146781,1
2,Kmeans,0.182824,0
2,Kmeans,0.168927,0
2,Kmeans,0.328803,1
2,Kmeans,0.176101,0
2,Kmeans,0.128521,1
2,Kmeans,0.266831,0
2,Kmeans,0.05371,1
2,Kmeans,0.19472,0
2,Kmeans,0.166291,0
2,Kmeans,0.226582,0
2,Kmeans,0.314674,0
2,Kmeans,0.30713,0
2,Kmeans,0.237374,1
2,Kmeans,0.354689,0
2,Kmeans,0.13476,1
2,Kmeans,0.098753,1
2,Kmeans,0.218117,0
2,Kmeans,0.252657,1
2,Kmeans,0.270746,1
2,Kmeans,0.262364,0
2,Kmeans,0.211734,1
2,Kmeans,0.012772,0
2,Kmeans,0.138605,0
2,Kmeans,0.147576,0
2,Kmeans,0.119919,1
2,Kmeans,0.323841,0
2,Kmeans,0.285698,0
2,Kmeans,0.3143,1
2,Kmeans,0.270428,1
2,Kmeans,0.144455,0
2,Kmeans,0.144848,0
2,Kmeans,0.073393,0
2,Kmeans,0.300715,1
2,Kmeans,0.154073,0
2,Kmeans,0.212083,0
2,Kmeans,0.207576,1
2,Kmeans,0.24715,0
2,Kmeans,0.321224,0
2,Kmeans,0.226086,0
2,Kmeans,0.312407,1
2,Kmeans,0.199176,1
2,Kmeans,0.340214,1
2,Kmeans,0.277435,1
2,Kmeans,0.252109,1
2,Kmeans,0.124715,0
2,Kmeans,0.170249,0
2,Kmeans,0.095788,0
2,Kmeans,0.31702,1
2,Kmeans,0.110501,1
2,Kmeans,0.278019,1
2,Kmeans,0.365278,0
2,Kmeans,0.188278,0
2,Kmeans,0.322222,1
2,Kmeans,0.145382,0
2,Kmeans,0.222382,0
2,Kmeans,0.24621,0
2,Kmeans,0.218665,0
2,Kmeans,0.150481,0
2,Kmeans,0.190946,0
2,Kmeans,0.286895,0
2,Kmeans,0.325055,1
2,Kmeans,0.033681,1
2,Kmeans,0.2141,1
2,Kmeans,0.115939,0
2,Kmeans,0.273078,0
2,Kmeans,0.308304,1
2,Kmeans,0.31233,0
2,Kmeans,0.060537,0
2,Kmeans,0.156215,0
2,Kmeans,0.279487,0
2,Kmeans,0.105036,0
2,Kmeans,0.069549,0
2,Kmeans,0.317477,0
2,Kmeans,0.018871,0
2,Kmeans,0.231509,0
2,Kmeans,0.138482,0
2,Kmeans,0.311029,0
2,Kmeans,0.236379,1
2,Kmeans,0.127082,0
2,Kmeans,0.151153,0
2,Kmeans,0.336362,0
2,Kmeans,0.28546,1
2,Kmeans,0.214075,1
2,Kmeans,0.205662,1
2,Kmeans,0.109083,0
2,Kmeans,0.043461,0
2,Kmeans,0.321918,1
2,Kmeans,0.250851,0
2,Kmeans,0.199656,1
2,Kmeans,0.205536,0
2,Kmeans,0.379159,0
2,Kmeans,0.141098,0
2,Kmeans,0.083853,0
2,Kmeans,0.084185,1
2,Kmeans,0.288257,1
2,Kmeans,0.239017,0
2,Kmeans,0.034751,0
2,Kmeans,0.329195,0
2,Kmeans,0.068635,0
2,Kmeans,0.316891,0
2,Kmeans,0.251985,1
2,Kmeans,0.343242,1
2,Kmeans,0.239515,0
2,Kmeans,0.134115,1
2,Kmeans,0.269045,1
2,Kmeans,0.206351,1
2,Kmeans,0.101858,1
2,Kmeans,0.265853,0
2,Kmeans,0.290642,1
2,Kmeans,0.213411,0
2,Kmeans,0.323552,0
2,Kmeans,0.104469,0
2,Kmeans,0.348911,0
2,Kmeans,0.308604,1
2,Kmeans,0.307038,0
2,Kmeans,0.143921,0
2,Kmeans,0.225011,0
2,Kmeans,0.349323,1
2,Kmeans,0.199053,0
2,Kmeans,0.167007,0
2,Kmeans,0.201745,0
2,Kmeans,0.361514,1
2,Kmeans,0.25662,0
2,Kmeans,0.048875,1
2,Kmeans,0.146139,0
2,Kmeans,0.180703,0
2,Kmeans,0.229509,0
2,Kmeans,0.140106,0
2,Kmeans,0.133405,0
2,Kmeans,0.151029,0
2,Kmeans,0.098024,0
2,Kmeans,0.199591,0
2,Kmeans,0.325907,0
2,Kmeans,0.167451,0
2,Kmeans,0.328175,0
2,Kmeans,0.124494,0
2,Kmeans,0.07875,0
2,Kmeans,0.167001,0
2,Kmeans,0.314348,0
2,Kmeans,0.222613,0
2,Kmeans,0.103284,1
2,Kmeans,0.35437,0
2,Kmeans,0.040027,0
2,Kmeans,0.13145,0
2,Kmeans,0.350465,0
2,Kmeans,0.01997,1
2,Kmeans,0.189441,0
2,Kmeans,0.040902,0
2,Kmeans,0.247075,0
2,Kmeans,0.138536,1
2,Kmeans,0.231646,0
2,Kmeans,0.243401,0
2,Kmeans,0.274589,1
2,Kmeans,0.305569,1
2,Kmeans,0.363744,0
2,Kmeans,0.226979,0
2,Kmeans,0.147939,0
2,Kmeans,0.211274,1
2,Kmeans,0.304888,1
2,Kmeans,0.105324,0
2,Kmeans,0.11723,0
2,Kmeans,0.305244,0
2,Kmeans,0.175167,0
2,Kmeans,0.155197,0
2,Kmeans,0.026505,0
2,Kmeans,0.265119,0
2,Kmeans,0.091258,0
2,Kmeans,0.31357,0
2,Kmeans,0.13299,0
2,Kmeans,0.185047,1
2,Kmeans,0.321481,0
2,Kmeans,0.305938,0
2,Kmeans,0.084875,0
2,Kmeans,0.203227,0
2,Kmeans,0.259429,0
2,Kmeans,0.314916,0
2,Kmeans,0.249499,1
2,Kmeans,0.299298,0
2,Kmeans,0.317902,0
2,Kmeans,0.063368,1
2,Kmeans,0.217331,0
2,Kmeans,0.139575,0
2,Kmeans,0.216553,0
