k,GMM,Kmeans
2,0.750102082482646,0.750102082482646
3,0.750102082482646,0.750102082482646
4,0.750102082482646,0.750102082482646
5,0.750102082482646,0.750102082482646
6,0.750102082482646,0.750102082482646
7,0.750102082482646,0.750102082482646
8,0.750102082482646,0.750102082482646
9,0.750102082482646,0.750102082482646
10,0.750102082482646,0.750102082482646
15,0.750102082482646,0.7505104124132299
20,0.7582686810943242,0.7582686810943242
25,0.7505104124132299,0.7660269497754185
30,0.7509187423438138,0.7578603511637403
35,0.7607186606778277,0.763985300122499
40,0.7537770518579012,0.7607186606778277
