k,type,score,label
2,Kmeans,0.409168,1
2,Kmeans,0.393511,1
2,Kmeans,-0.088832,0
2,Kmeans,0.375908,1
2,Kmeans,-0.103474,0
2,Kmeans,0.301831,1
2,Kmeans,0.203805,1
2,Kmeans,-0.021982,0
2,Kmeans,0.370198,1
2,Kmeans,0.232941,1
2,Kmeans,0.255665,1
2,Kmeans,0.135903,0
2,Kmeans,-0.039729,0
2,Kmeans,0.075641,0
2,Kmeans,0.272301,1
2,Kmeans,0.285787,1
2,Kmeans,0.233044,1
2,Kmeans,0.361515,1
2,Kmeans,0.390499,1
2,Kmeans,0.382716,1
2,Kmeans,0.207098,0
2,Kmeans,0.177855,1
2,Kmeans,0.379076,1
2,Kmeans,0.415314,1
2,Kmeans,0.133455,0
2,Kmeans,0.217751,1
2,Kmeans,0.430757,1
2,Kmeans,0.166112,0
2,Kmeans,-0.042974,0
2,Kmeans,0.423114,1
2,Kmeans,0.430058,1
2,Kmeans,0.298198,1
2,Kmeans,-0.13481,0
2,Kmeans,0.194383,1
2,Kmeans,0.353703,1
2,Kmeans,0.316309,1
2,Kmeans,0.252279,1
2,Kmeans,0.338064,1
2,Kmeans,0.27654,1
2,Kmeans,0.441429,1
2,Kmeans,0.422281,1
2,Kmeans,0.293857,1
2,Kmeans,0.318757,1
2,Kmeans,0.175019,1
2,Kmeans,0.399432,1
2,Kmeans,0.294342,1
2,Kmeans,0.27654,1
2,Kmeans,-0.065859,0
2,Kmeans,0.435067,1
2,Kmeans,0.37007,1
2,Kmeans,0.302116,1
2,Kmeans,0.399205,1
2,Kmeans,0.11004,0
2,Kmeans,0.226828,1
2,Kmeans,0.415314,1
2,Kmeans,0.399432,1
2,Kmeans,0.362492,1
2,Kmeans,-0.085036,0
2,Kmeans,0.386939,1
2,Kmeans,0.218267,0
2,Kmeans,0.131459,1
2,Kmeans,0.411076,1
2,Kmeans,0.172613,1
2,Kmeans,0.410008,1
2,Kmeans,0.002531,0
2,Kmeans,0.382018,1
2,Kmeans,0.358011,1
2,Kmeans,0.373486,1
2,Kmeans,0.429526,1
2,Kmeans,0.399795,1
2,Kmeans,0.21207,1
2,Kmeans,0.452529,1
2,Kmeans,0.186607,1
2,Kmeans,0.135546,0
2,Kmeans,0.248388,1
2,Kmeans,0.386939,1
2,Kmeans,0.445841,1
2,Kmeans,0.073097,1
2,Kmeans,0.37007,1
2,Kmeans,0.363825,1
2,Kmeans,0.228089,1
2,Kmeans,0.397203,1
2,Kmeans,0.121566,1
2,Kmeans,0.159489,1
2,Kmeans,0.042996,0
2,Kmeans,0.385635,1
2,Kmeans,-0.163883,0
2,Kmeans,0.392096,1
2,Kmeans,0.253875,1
2,Kmeans,-0.085036,0
2,Kmeans,0.271591,1
2,Kmeans,0.397537,1
2,Kmeans,0.439015,1
2,Kmeans,0.36135,1
2,Kmeans,0.386939,1
2,Kmeans,0.248392,1
2,Kmeans,0.314372,1
2,Kmeans,0.244869,1
2,Kmeans,0.32338,1
2,Kmeans,0.249561,0
2,Kmeans,0.430757,1
2,Kmeans,0.078943,1
2,Kmeans,0.36135,1
2,Kmeans,0.302052,1
2,Kmeans,0.303678,1
2,Kmeans,0.36135,1
2,Kmeans,0.286268,1
2,Kmeans,-0.074825,0
2,Kmeans,0.448074,1
2,Kmeans,-0.149828,0
2,Kmeans,0.38314,1
2,Kmeans,0.236414,1
2,Kmeans,0.368278,1
2,Kmeans,0.254148,1
2,Kmeans,0.257514,1
2,Kmeans,0.132395,0
2,Kmeans,0.373486,1
2,Kmeans,0.396679,1
2,Kmeans,-0.083357,0
2,Kmeans,0.368784,1
2,Kmeans,0.219161,1
2,Kmeans,0.430883,1
2,Kmeans,0.394978,1
2,Kmeans,0.008229,0
2,Kmeans,0.31183,1
2,Kmeans,0.425776,1
2,Kmeans,0.423192,1
2,Kmeans,0.255288,1
2,Kmeans,0.142932,1
2,Kmeans,0.394978,1
2,Kmeans,0.181601,0
2,Kmeans,0.360986,1
2,Kmeans,0.283706,1
2,Kmeans,0.397537,1
2,Kmeans,0.397848,1
2,Kmeans,0.417664,1
2,Kmeans,0.387115,1
2,Kmeans,0.279437,1
2,Kmeans,-0.104733,0
2,Kmeans,0.250952,0
2,Kmeans,0.266185,1
2,Kmeans,0.457079,1
2,Kmeans,0.431505,1
2,Kmeans,0.287582,1
2,Kmeans,0.390328,1
2,Kmeans,0.286842,1
2,Kmeans,0.114089,1
2,Kmeans,0.23189,1
2,Kmeans,0.286299,1
2,Kmeans,0.201696,1
2,Kmeans,0.048115,1
2,Kmeans,0.403511,1
2,Kmeans,0.374388,1
2,Kmeans,0.07785,1
2,Kmeans,0.411076,1
2,Kmeans,0.226516,1
2,Kmeans,0.208043,0
2,Kmeans,0.276936,1
2,Kmeans,0.394958,1
2,Kmeans,-0.076237,0
2,Kmeans,0.166942,1
2,Kmeans,0.203469,1
2,Kmeans,0.381431,1
2,Kmeans,0.208396,1
2,Kmeans,0.226758,1
2,Kmeans,0.430757,1
2,Kmeans,0.346535,1
2,Kmeans,-0.085567,0
2,Kmeans,0.216249,1
2,Kmeans,-0.044083,0
2,Kmeans,0.310469,1
2,Kmeans,0.191358,1
2,Kmeans,0.157301,0
2,Kmeans,0.422186,1
2,Kmeans,0.23932,0
2,Kmeans,-0.029489,0
2,Kmeans,-0.090281,0
2,Kmeans,0.370707,1
2,Kmeans,0.028486,0
2,Kmeans,0.211217,1
2,Kmeans,0.386939,1
2,Kmeans,0.163685,0
2,Kmeans,0.141943,0
2,Kmeans,0.214067,1
2,Kmeans,0.35349,1
2,Kmeans,0.116486,1
2,Kmeans,0.203469,1
2,Kmeans,0.163685,0
2,Kmeans,0.128765,0
2,Kmeans,0.380187,1
2,Kmeans,0.394653,1
2,Kmeans,0.369089,1
2,Kmeans,0.164977,0
2,Kmeans,0.351555,1
2,Kmeans,0.345735,1
2,Kmeans,0.304467,1
2,Kmeans,0.150268,1
2,Kmeans,0.090659,0
2,Kmeans,0.27654,1
2,Kmeans,0.101932,0
2,Kmeans,0.395744,1
2,Kmeans,0.331506,1
2,Kmeans,0.435994,1
2,Kmeans,0.199473,0
2,Kmeans,0.235895,1
2,Kmeans,0.385622,1
2,Kmeans,0.400593,1
2,Kmeans,0.003251,0
2,Kmeans,0.312591,1
2,Kmeans,-0.004213,0
2,Kmeans,0.205529,1
2,Kmeans,0.430757,1
2,Kmeans,0.097281,1
2,Kmeans,0.392096,1
2,Kmeans,0.251555,0
2,Kmeans,0.390829,1
2,Kmeans,0.290965,1
2,Kmeans,0.379504,1
2,Kmeans,0.412351,1
2,Kmeans,0.37981,1
2,Kmeans,0.394653,1
2,Kmeans,0.235533,0
2,Kmeans,0.286724,1
2,Kmeans,0.243868,1
2,Kmeans,-0.068188,0
2,Kmeans,0.211833,1
2,Kmeans,0.197717,0
2,Kmeans,0.141421,0
2,Kmeans,0.408282,1
2,Kmeans,0.387715,1
2,Kmeans,0.347703,1
2,Kmeans,0.351337,1
2,Kmeans,0.430757,1
2,Kmeans,-0.054369,0
2,Kmeans,0.431505,1
2,Kmeans,-0.056399,0
2,Kmeans,0.384702,1
2,Kmeans,0.386629,1
2,Kmeans,0.128992,0
2,Kmeans,0.402326,1
2,Kmeans,0.369942,1
2,Kmeans,0.391013,1
2,Kmeans,0.43762,1
2,Kmeans,0.313271,1
2,Kmeans,0.198681,1
2,Kmeans,0.351023,1
2,Kmeans,0.274073,1
2,Kmeans,-0.072525,0
2,Kmeans,-0.044419,0
2,Kmeans,0.293638,1
2,Kmeans,0.060942,0
2,Kmeans,0.454317,1
2,Kmeans,0.229346,0
2,Kmeans,0.353177,1
2,Kmeans,0.400735,1
2,Kmeans,0.37642,1
2,Kmeans,-0.040619,0
2,Kmeans,0.271844,1
2,Kmeans,-0.036039,0
2,Kmeans,0.268169,1
2,Kmeans,0.157946,1
2,Kmeans,0.13076,0
2,Kmeans,0.260859,1
2,Kmeans,0.370297,1
2,Kmeans,0.390488,1
2,Kmeans,0.402027,1
2,Kmeans,0.266185,1
2,Kmeans,0.308639,1
2,Kmeans,-0.059314,0
2,Kmeans,0.234935,0
2,Kmeans,0.251994,1
2,Kmeans,0.400593,1
2,Kmeans,0.365538,1
2,Kmeans,0.438341,1
2,Kmeans,0.066654,1
2,Kmeans,0.202992,0
2,Kmeans,0.165408,1
2,Kmeans,0.298181,1
2,Kmeans,0.399932,1
2,Kmeans,0.413145,1
2,Kmeans,0.402876,1
2,Kmeans,-0.120964,0
2,Kmeans,0.023227,0
2,Kmeans,0.430757,1
2,Kmeans,0.36135,1
2,Kmeans,0.311935,1
2,Kmeans,0.283836,1
2,Kmeans,0.21448,1
2,Kmeans,0.15046,1
2,Kmeans,0.105343,1
2,Kmeans,-0.096085,0
2,Kmeans,0.144752,1
2,Kmeans,0.310515,1
2,Kmeans,0.448856,1
2,Kmeans,0.339825,1
2,Kmeans,0.297632,1
2,Kmeans,0.403393,1
2,Kmeans,0.070502,0
2,Kmeans,0.422281,1
2,Kmeans,0.237302,1
2,Kmeans,-0.090265,0
2,Kmeans,0.341408,1
2,Kmeans,0.293675,1
2,Kmeans,-0.108297,0
2,Kmeans,0.265846,1
2,Kmeans,0.285429,1
2,Kmeans,0.407627,1
2,Kmeans,0.213582,1
2,Kmeans,0.090595,0
2,Kmeans,0.390085,1
2,Kmeans,0.302675,1
2,Kmeans,0.225105,1
2,Kmeans,0.223513,1
2,Kmeans,0.171013,1
2,Kmeans,0.434142,1
2,Kmeans,0.163685,0
2,Kmeans,0.066945,1
2,Kmeans,0.047196,0
2,Kmeans,0.07942,1
2,Kmeans,0.418215,1
2,Kmeans,0.355682,1
2,Kmeans,0.422281,1
2,Kmeans,0.429526,1
2,Kmeans,0.177452,1
2,Kmeans,0.42204,1
2,Kmeans,0.287517,1
2,Kmeans,0.346825,1
2,Kmeans,0.333261,1
2,Kmeans,-0.079312,0
2,Kmeans,0.325733,1
2,Kmeans,0.380914,1
2,Kmeans,0.429037,1
2,Kmeans,-0.072668,0
2,Kmeans,0.430757,1
2,Kmeans,0.169653,1
2,Kmeans,0.387115,1
2,Kmeans,0.150268,1
2,Kmeans,0.397537,1
2,Kmeans,0.28265,1
2,Kmeans,0.119507,0
2,Kmeans,0.331645,1
2,Kmeans,0.242084,1
2,Kmeans,0.184298,1
2,Kmeans,0.260863,1
2,Kmeans,-0.075564,0
2,Kmeans,0.243354,1
2,Kmeans,0.438254,1
2,Kmeans,0.338454,1
2,Kmeans,0.272244,1
2,Kmeans,0.228549,1
2,Kmeans,0.244802,1
2,Kmeans,0.237732,0
2,Kmeans,0.070855,1
2,Kmeans,0.36614,1
2,Kmeans,0.29677,1
2,Kmeans,0.433437,1
2,Kmeans,0.362605,1
2,Kmeans,0.126204,0
2,Kmeans,0.251794,1
2,Kmeans,0.186074,1
2,Kmeans,0.226066,0
2,Kmeans,0.207556,1
2,Kmeans,0.353359,1
2,Kmeans,0.292088,1
2,Kmeans,0.274849,1
2,Kmeans,0.073809,1
2,Kmeans,0.345735,1
2,Kmeans,0.40081,1
2,Kmeans,0.375997,1
2,Kmeans,0.37552,1
2,Kmeans,0.19843,1
