k,GMM,Kmeans
2,0.8856676194365047,0.8856676194365047
3,0.8856676194365047,0.8856676194365047
4,0.8856676194365047,0.8856676194365047
5,0.8856676194365047,0.8856676194365047
6,0.8856676194365047,0.8856676194365047
7,0.8856676194365047,0.8856676194365047
8,0.8856676194365047,0.8856676194365047
9,0.8856676194365047,0.8856676194365047
10,0.8856676194365047,0.8856676194365047
15,0.8856676194365047,0.8856676194365047
20,0.8856676194365047,0.8856676194365047
25,0.8856676194365047,0.8864842792976725
30,0.8860759493670886,0.8877092690894243
35,0.8889342588811759,0.8885259289505921
40,0.8893425888117599,0.8885259289505921
