k,GMM,Kmeans
2,0.006575760141287533,0.00708497172742446
3,0.012834065018413662,0.005351733637727301
4,0.007314805423964207,0.0037542030917042174
5,0.00614556270608225,0.004147753061361051
6,0.008322762672832685,0.0035570967159201062
7,0.0027176585735008687,0.003394967598308285
8,0.0034725983011139726,0.005877798797791043
9,0.0036846065891879983,0.006086683401751895
10,0.01097867338350088,0.005004860650215074
15,0.004958415124396862,0.006968257928336933
20,0.0062873750732753,0.009340525392538839
25,0.004885307477699085,0.009397916257170777
30,0.006447216866143036,0.007150054098251589
35,0.006517397995715647,0.009746322009259697
40,0.006495568714511397,0.009240970093232336
