k,type,score,label
2,Kmeans,0.107615,1
2,Kmeans,0.340326,0
2,Kmeans,0.16194,1
2,Kmeans,-0.106358,1
2,Kmeans,-0.101825,1
2,Kmeans,0.32631,0
2,Kmeans,0.434306,0
2,Kmeans,0.316795,0
2,Kmeans,0.379541,0
2,Kmeans,0.357028,0
2,Kmeans,0.390868,0
2,Kmeans,0.36482,0
2,Kmeans,0.212949,0
2,Kmeans,0.257054,0
2,Kmeans,0.079206,0
2,Kmeans,0.063047,1
2,Kmeans,0.103301,1
2,Kmeans,0.180917,1
2,Kmeans,0.006057,1
2,Kmeans,0.422828,0
2,Kmeans,-0.167688,1
2,Kmeans,0.306437,0
2,Kmeans,-0.096349,1
2,Kmeans,0.389365,0
2,Kmeans,0.177007,0
2,Kmeans,0.321216,0
2,Kmeans,-0.177543,1
2,Kmeans,0.247658,0
2,Kmeans,-0.085077,1
2,Kmeans,-0.104456,1
2,Kmeans,0.234851,0
2,Kmeans,0.010082,1
2,Kmeans,0.321684,0
2,Kmeans,0.234681,0
2,Kmeans,0.392553,0
2,Kmeans,0.403436,0
2,Kmeans,0.325455,0
2,Kmeans,0.290147,0
2,Kmeans,0.017494,1
2,Kmeans,0.273405,0
2,Kmeans,0.051961,1
2,Kmeans,0.072594,1
2,Kmeans,0.009729,1
2,Kmeans,0.371538,0
2,Kmeans,0.411069,0
2,Kmeans,0.384211,0
2,Kmeans,0.205209,1
2,Kmeans,0.276438,0
2,Kmeans,-0.151709,1
2,Kmeans,0.131869,0
2,Kmeans,0.410527,0
2,Kmeans,0.124406,1
2,Kmeans,0.139741,0
2,Kmeans,0.206257,1
2,Kmeans,0.229213,0
2,Kmeans,0.276848,0
2,Kmeans,0.11898,1
2,Kmeans,0.382558,0
2,Kmeans,0.364313,0
2,Kmeans,-0.115455,1
2,Kmeans,0.160856,0
2,Kmeans,-0.113649,1
2,Kmeans,0.120763,1
2,Kmeans,0.209969,0
2,Kmeans,0.151695,0
2,Kmeans,0.178076,0
2,Kmeans,0.174684,0
2,Kmeans,0.377985,0
2,Kmeans,0.160532,0
2,Kmeans,0.099354,0
2,Kmeans,-0.087303,1
2,Kmeans,0.377698,0
2,Kmeans,0.388713,0
2,Kmeans,0.379034,0
2,Kmeans,0.144547,0
2,Kmeans,-0.136196,1
2,Kmeans,0.111307,0
2,Kmeans,0.332591,0
2,Kmeans,0.390095,0
2,Kmeans,0.175692,0
2,Kmeans,0.005098,1
2,Kmeans,0.244849,0
2,Kmeans,0.417831,0
2,Kmeans,0.437031,0
2,Kmeans,0.258879,0
