k,GMM,Kmeans
2,0.17857186565655797,0.206403818638477
3,0.15150016622868792,0.1592456566757212
4,0.17954432174839585,0.16971745146460218
5,0.13738263931275022,0.18201673519965084
6,0.18901296298427353,0.14972531939306133
7,0.030930085850160705,0.16207525807405596
8,0.07075611670694004,0.17370735029812037
9,0.0865626950768366,0.18732852045477974
10,0.1288011189970849,0.1856530983883727
15,0.1307745763520529,0.18801707433224799
20,0.12025150019704803,0.18502237937800825
25,0.047908484450426524,0.17758625514847134
30,0.019879654102424413,0.17239158622305992
35,0.083119335990033,0.1873409243418382
40,0.08353224061961415,0.18416964121814713
