k,GMM,Kmeans
2,0.750102082482646,0.750102082482646
3,0.791751735402205,0.7803184973458555
4,0.8138015516537362,0.8105349122090649
5,0.8117599020008167,0.8166598611678236
6,0.8121682319314005,0.8133932217231523
7,0.8117599020008167,0.8044099632503062
8,0.8044099632503062,0.8007349938750511
9,0.8089015924867293,0.8048182931808902
10,0.8125765618619845,0.8121682319314005
15,0.810126582278481,0.8133932217231523
20,0.8093099224173131,0.8138015516537362
25,0.8113515720702328,0.8109432421396489
30,0.8109432421396489,0.8121682319314005
35,0.8142098815843202,0.8117599020008167
40,0.8150265414454879,0.8129848917925684
