k,GMM,Kmeans
2,0.38434836007779544,0.3894087417663244
3,0.38168524907844603,0.41815224438847126
4,0.37484819036912437,0.38825673815938916
5,0.38756602530201884,0.3914176116902616
6,0.35121102413974825,0.3865872784101097
7,0.371477879487789,0.36031016671600175
8,0.3554265096937495,0.36264201800667384
9,0.328338356304875,0.34502880512777034
10,0.32531485923643794,0.3400942934820566
15,0.3188949951215715,0.35056022170508794
20,0.33665163621236954,0.346237613636882
25,0.30767671538370295,0.34739766855422544
30,0.31251734570609746,0.3560920871125219
35,0.3297951315039557,0.3527730671280533
40,0.3217377151216796,0.36205805114829426
