k,type,score,label
2,Kmeans,0.237721,0
2,Kmeans,0.14946,1
2,Kmeans,0.096048,0
2,Kmeans,0.130228,0
2,Kmeans,0.354274,0
2,Kmeans,0.129439,1
2,Kmeans,0.215163,0
2,Kmeans,0.221519,0
2,Kmeans,0.183651,0
2,Kmeans,0.095632,0
2,Kmeans,0.17973,0
2,Kmeans,0.216495,0
2,Kmeans,0.295706,0
2,Kmeans,0.256313,0
2,Kmeans,0.215719,0
2,Kmeans,0.34265,0
2,Kmeans,0.244202,1
2,Kmeans,0.288135,1
2,Kmeans,0.257251,0
2,Kmeans,0.247509,0
2,Kmeans,0.063872,1
2,Kmeans,0.099838,0
2,Kmeans,0.325633,0
2,Kmeans,0.312362,0
2,Kmeans,0.21305,1
2,Kmeans,0.291557,0
2,Kmeans,0.14748,1
2,Kmeans,0.060835,0
2,Kmeans,0.251655,1
2,Kmeans,0.082107,0
2,Kmeans,0.20481,0
2,Kmeans,0.255434,1
2,Kmeans,0.176649,1
2,Kmeans,0.066644,0
2,Kmeans,0.0994,0
2,Kmeans,0.090914,0
2,Kmeans,0.147864,0
2,Kmeans,0.257822,1
2,Kmeans,0.295089,1
2,Kmeans,0.258543,1
2,Kmeans,0.145155,1
2,Kmeans,0.329201,0
2,Kmeans,0.099045,0
2,Kmeans,0.115486,0
2,Kmeans,0.314129,0
2,Kmeans,0.317248,0
2,Kmeans,0.192356,0
2,Kmeans,0.183919,1
2,Kmeans,0.315447,0
2,Kmeans,0.224928,0
2,Kmeans,0.306117,0
2,Kmeans,0.320996,1
2,Kmeans,0.3386,1
2,Kmeans,0.274081,0
2,Kmeans,0.108884,1
2,Kmeans,0.228794,0
2,Kmeans,0.214998,0
2,Kmeans,0.290103,1
2,Kmeans,0.219816,0
2,Kmeans,0.307071,0
2,Kmeans,0.333796,0
2,Kmeans,0.303776,0
2,Kmeans,0.171865,0
2,Kmeans,0.314073,1
2,Kmeans,0.242581,1
2,Kmeans,0.102735,0
2,Kmeans,0.317198,1
2,Kmeans,0.100086,1
2,Kmeans,0.265358,0
2,Kmeans,0.315605,0
2,Kmeans,0.067694,0
2,Kmeans,0.328087,0
2,Kmeans,0.248638,1
2,Kmeans,0.290371,0
2,Kmeans,0.190154,1
2,Kmeans,0.022893,0
2,Kmeans,0.276703,1
2,Kmeans,0.120233,1
2,Kmeans,0.087166,1
2,Kmeans,0.344719,1
2,Kmeans,0.078892,0
2,Kmeans,0.31972,0
2,Kmeans,0.112077,1
2,Kmeans,0.120665,1
2,Kmeans,0.066989,0
2,Kmeans,0.147237,0
2,Kmeans,0.158231,0
2,Kmeans,0.122385,0
2,Kmeans,0.243693,0
2,Kmeans,0.291594,0
2,Kmeans,0.106484,0
2,Kmeans,0.225708,0
2,Kmeans,0.179451,0
2,Kmeans,0.236281,0
2,Kmeans,0.173356,0
2,Kmeans,0.181666,0
2,Kmeans,0.045174,1
2,Kmeans,0.095209,0
2,Kmeans,0.261893,1
2,Kmeans,0.062427,0
2,Kmeans,0.120036,0
2,Kmeans,0.196696,1
2,Kmeans,0.354721,0
2,Kmeans,0.146179,0
2,Kmeans,0.304119,0
2,Kmeans,0.134824,1
2,Kmeans,0.204042,1
2,Kmeans,0.135487,0
2,Kmeans,0.233033,0
2,Kmeans,0.234243,1
2,Kmeans,0.130651,0
2,Kmeans,0.101645,0
2,Kmeans,0.26485,0
2,Kmeans,0.290675,0
2,Kmeans,0.242948,1
2,Kmeans,0.11889,0
2,Kmeans,0.127258,0
2,Kmeans,0.219156,1
2,Kmeans,0.11785,1
2,Kmeans,0.262264,0
2,Kmeans,0.211907,1
2,Kmeans,0.250627,0
2,Kmeans,0.273419,1
2,Kmeans,0.263406,1
2,Kmeans,0.139291,0
2,Kmeans,0.103698,0
2,Kmeans,0.153688,0
2,Kmeans,0.215432,0
2,Kmeans,0.319205,1
2,Kmeans,0.193217,0
2,Kmeans,0.247912,0
2,Kmeans,0.263128,1
2,Kmeans,0.302582,1
2,Kmeans,0.024921,1
2,Kmeans,0.128197,1
2,Kmeans,0.00848,1
2,Kmeans,0.064201,0
2,Kmeans,0.351234,0
2,Kmeans,0.16567,0
2,Kmeans,0.335453,0
2,Kmeans,0.100302,0
2,Kmeans,0.277406,0
2,Kmeans,0.149448,1
2,Kmeans,0.094042,0
2,Kmeans,0.289706,1
2,Kmeans,0.020435,1
2,Kmeans,0.028984,0
2,Kmeans,0.320478,0
2,Kmeans,0.094811,0
2,Kmeans,0.093486,0
2,Kmeans,0.335058,0
2,Kmeans,0.045107,0
2,Kmeans,0.241637,0
2,Kmeans,0.134377,1
2,Kmeans,0.144276,0
2,Kmeans,0.21002,0
2,Kmeans,0.228966,0
2,Kmeans,0.157241,1
2,Kmeans,0.231108,0
2,Kmeans,0.235915,0
2,Kmeans,0.224769,1
2,Kmeans,0.336473,1
2,Kmeans,0.116429,1
2,Kmeans,0.282442,0
2,Kmeans,0.112777,0
2,Kmeans,0.284538,1
2,Kmeans,0.33346,0
2,Kmeans,0.303454,0
2,Kmeans,0.192512,0
2,Kmeans,0.22629,0
2,Kmeans,0.10477,1
2,Kmeans,0.213377,0
2,Kmeans,0.311983,0
2,Kmeans,0.166027,0
2,Kmeans,0.008167,1
2,Kmeans,0.321458,0
2,Kmeans,0.113735,0
2,Kmeans,0.269399,0
2,Kmeans,0.110364,0
2,Kmeans,0.095028,0
2,Kmeans,0.05872,1
2,Kmeans,0.209843,0
2,Kmeans,0.122161,0
2,Kmeans,0.307518,0
2,Kmeans,0.205796,0
2,Kmeans,0.168022,0
2,Kmeans,0.178383,0
2,Kmeans,0.344036,0
2,Kmeans,0.172871,0
2,Kmeans,0.262737,1
2,Kmeans,0.187951,0
2,Kmeans,0.311334,0
2,Kmeans,0.311794,0
2,Kmeans,0.325517,1
2,Kmeans,0.295197,1
2,Kmeans,0.083128,1
2,Kmeans,0.32377,1
2,Kmeans,0.09754,0
2,Kmeans,0.075156,1
2,Kmeans,0.024723,0
2,Kmeans,0.205548,0
2,Kmeans,0.20645,0
2,Kmeans,0.302165,0
2,Kmeans,0.276894,0
2,Kmeans,0.221208,0
2,Kmeans,0.343509,1
2,Kmeans,0.22418,0
2,Kmeans,0.161472,0
2,Kmeans,0.179207,0
2,Kmeans,0.290922,0
2,Kmeans,0.082901,0
2,Kmeans,0.148317,0
2,Kmeans,0.23272,0
2,Kmeans,0.168147,0
2,Kmeans,0.199424,0
2,Kmeans,0.264003,1
2,Kmeans,0.309299,0
2,Kmeans,0.068302,1
2,Kmeans,0.273507,0
2,Kmeans,0.248125,1
2,Kmeans,0.143138,0
2,Kmeans,0.286143,1
2,Kmeans,0.113582,1
2,Kmeans,0.260554,0
2,Kmeans,0.261951,0
2,Kmeans,0.26632,0
2,Kmeans,0.3131,0
2,Kmeans,0.099463,1
2,Kmeans,0.284035,1
2,Kmeans,0.284179,1
2,Kmeans,0.247666,1
2,Kmeans,0.158365,0
2,Kmeans,0.255885,0
2,Kmeans,0.365109,0
2,Kmeans,0.184501,0
2,Kmeans,0.151281,0
2,Kmeans,0.086087,1
2,Kmeans,0.301113,1
2,Kmeans,0.118492,0
2,Kmeans,0.247144,0
2,Kmeans,0.111104,0
2,Kmeans,0.129773,0
2,Kmeans,0.177332,0
2,Kmeans,0.296224,0
2,Kmeans,0.149225,1
2,Kmeans,0.316225,1
2,Kmeans,0.161952,1
2,Kmeans,0.175119,0
2,Kmeans,0.332092,0
2,Kmeans,0.140371,0
2,Kmeans,0.20049,0
2,Kmeans,0.097101,0
2,Kmeans,0.129323,0
2,Kmeans,0.305894,0
2,Kmeans,0.183992,0
2,Kmeans,0.228277,0
2,Kmeans,0.28974,1
2,Kmeans,0.3701,0
2,Kmeans,0.100983,0
2,Kmeans,0.223758,0
2,Kmeans,0.361775,1
2,Kmeans,0.275777,1
2,Kmeans,0.200503,1
2,Kmeans,0.300151,0
2,Kmeans,0.335407,1
2,Kmeans,0.190047,0
2,Kmeans,0.338533,1
2,Kmeans,0.260989,0
2,Kmeans,0.311758,1
2,Kmeans,0.025701,1
2,Kmeans,0.004853,0
2,Kmeans,0.225395,1
2,Kmeans,0.019786,0
2,Kmeans,0.0799,0
2,Kmeans,0.126961,1
2,Kmeans,0.059348,1
2,Kmeans,0.338128,0
