k,GMM,Kmeans
2,0.20031520778378728,0.2049505481298845
3,0.16002326113418047,0.21403487008429278
4,0.14095221887318646,0.20494224052063897
5,0.1594934539594067,0.19651922684855916
6,0.16172783431915122,0.19069624108243313
7,0.10212617574073941,0.19417329642938924
8,0.10610900037461278,0.19929656825731293
9,0.10039297858301348,0.20685578589742992
10,0.1486017641836983,0.21097128419342867
15,0.12978366159628996,0.2112544765822607
20,0.12702511222682764,0.22147240655602493
25,0.1262847861334014,0.2230288984059472
30,0.1294219133927222,0.22729008445908536
35,0.12930155479647246,0.22724435437781002
40,0.10716538657979473,0.21267286173337216
