params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.4216389999999706,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.296192000000019,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.4752439999999751,100,5.337254901960783,5.337254901960785,4.9411764705882355,5.733333333333333,0.396078431372549
"{""discount_factor"": 0.3}",1.474221,100,5.376862745098041,5.733333333333333,4.9411764705882355,5.733333333333333,0.3940930633245827
"{""discount_factor"": 0.4}",1.477897999999982,100,5.345176470588235,5.733333333333333,4.9411764705882355,5.733333333333333,0.3959992077631211
"{""discount_factor"": 0.5}",1.6153909999999883,100,5.297647058823531,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39409306332458277
"{""discount_factor"": 0.6}",1.5870139999999537,100,5.368941176470589,5.733333333333333,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.7}",1.5416170000000307,100,5.384784313725492,5.733333333333333,4.9411764705882355,5.733333333333333,0.39321632572394544
"{""discount_factor"": 0.8}",1.5444059999999808,100,5.37686274509804,5.733333333333333,4.9411764705882355,5.733333333333333,0.39409306332458266
"{""discount_factor"": 0.9}",1.609470999999985,100,5.345176470588236,5.733333333333333,4.9411764705882355,5.733333333333333,0.39599920776312114
