params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.706150000000008,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.620902000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.757715000000019,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.679949000000022,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.6873689999999897,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.498761000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.473547000000025,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.750095000000016,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.681794000000025,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9}",3.8789849999999717,100,0.0,0.0,0.0,0.0,0.0
