params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.410819,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.180711,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.4759420000000008,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.4153350000000007,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",1.4989869999999996,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",1.412548000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",1.3739629999999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",1.4417720000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",1.450835999999999,100,0.00041666666666666664,0.0,0.0,0.041666666666666664,0.00414578098794425
"{""discount_factor"": 0.9}",25.970178999999998,100,0.0,0.0,0.0,0.0,0.0
