params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.635731,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.633551000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.684004999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.719726999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.7374539999999996,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.7746329999999944,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.8789409999999975,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.963442999999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",109.64918399999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9}",4.931715000000025,100,0.0,0.0,0.0,0.0,0.0
