params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",16.347067,100,0.005604858767497092,0.0030120755196283897,0.0,0.03333333333333333,0.006731954408952583
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",6.531864000000002,100,0.019066243837740575,0.01694915254237288,0.005434782608695652,0.047619047619047616,0.009548688499783962
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",6.001114999999999,100,0.023296445850706157,0.020833333333333332,0.007518796992481203,0.05555555555555555,0.010160434353610963
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",6.170032000000003,100,0.02452161174237542,0.022727272727272728,0.0058823529411764705,0.0625,0.010945385685686104
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",5.849845999999999,100,0.022858241013745867,0.02000800320128051,0.0055248618784530384,0.058823529411764705,0.0109161804912308
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",5.515905000000004,100,0.0248928109725495,0.02127659574468085,0.006993006993006993,0.07142857142857142,0.0117143270301016
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",6.307730999999997,100,0.022308466364489056,0.0196078431372549,0.006060606060606061,0.0625,0.01171779178821743
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",6.059685999999999,100,0.02039806307459221,0.01694915254237288,0.003861003861003861,0.05,0.010620239142529868
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",8.301841000000003,100,0.01694876835353754,0.013072453861927546,0.003257328990228013,0.05555555555555555,0.011098078876271976
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.082470000000001,100,0.01623506544510455,0.015165441176470588,0.002421307506053269,0.05,0.008664307385145918
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",16.571380000000005,100,0.0037038163431908117,0.0022020568663036902,0.0,0.0196078431372549,0.004147498841284611
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",6.343581,100,0.02055514845202293,0.018518518518518517,0.0072992700729927005,0.045454545454545456,0.009380757006553086
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",6.210976000000002,100,0.021170552392158936,0.019049346879535557,0.0048543689320388345,0.05263157894736842,0.010610753070468404
