steps,time,reward,delta,converged
1,0.029803999999785447,0.0,0,False
2,0.028096000000005006,0.0,0,False
3,0.027986000000055355,0.0,0,False
4,0.029354999999668507,0.0,0,False
5,0.02789299999949435,0.0,0,False
6,0.0286260000002585,0.0,0,False
7,0.028716000000713393,0.0,0,False
8,0.02853499999946507,0.0,0,False
9,0.028408999999555817,0.0,0,False
10,0.02659700000003795,0.0,0,False
11,0.026667000000088592,0.0,0,False
12,0.027079000000412634,0.0,0,False
13,0.02675600000020495,0.0,0,False
14,0.027404999999816937,0.0,0,False
15,0.02841100000023289,0.0,0,False
16,0.028250999999727355,0.0,0,False
17,0.02989900000011403,0.0,0,False
18,0.03002100000048813,0.0,0,False
19,0.029019999999945867,0.0,0,False
20,0.02978999999959342,0.0,0,False
21,0.030295000000478467,0.0,0,False
22,0.03032199999961449,0.0,0,False
23,0.029765999999654014,0.0,0,False
24,0.028720999999677588,0.0,0,False
25,0.029770000000098662,0.0,0,False
26,0.030808999999862863,0.0,0,False
27,0.029846000000361528,0.0,0,False
28,0.03001700000004348,0.0,0,False
29,0.030459999999948195,0.0,0,False
30,0.02933599999960279,0.0,0,False
31,0.029725999999755004,0.0,0,False
32,0.028909999999996217,0.0,0,False
33,0.029773000000204775,0.0,0,False
34,0.029298000000380853,0.0,0,False
35,0.029706999999689288,0.0,0,False
36,0.030139999999846623,0.0,0,False
37,0.030315999999402266,0.0,0,False
38,0.02970499999992171,0.0,0,False
39,0.03038300000025629,0.0,0,False
40,0.02961299999969924,0.0,0,False
41,0.028522999999950116,0.0,0,False
42,0.029003000000557222,0.0,0,False
43,0.03135999999994965,0.0,0,False
44,0.02997700000014447,0.0,0,False
45,0.03114599999935308,0.0,0,False
46,0.03038300000025629,0.0,0,False
47,0.029792999999699532,0.0,0,False
48,0.029236000000310014,0.0,0,False
49,0.030165000000124564,0.0,0,False
50,0.029274999999870488,0.0,0,False
51,0.028779999999642314,0.0,0,False
52,0.02886800000032963,0.0,0,False
53,0.02947200000016892,0.0,0,False
54,0.029851999999664258,0.0,0,False
55,0.029628999999658845,0.0,0,False
56,0.030098000000180036,0.0,0,False
57,0.03038100000048871,0.0,0,False
58,0.030165000000124564,0.0,0,False
59,0.029244000000289816,0.0,0,False
60,0.029136000000107742,0.0,0,False
61,0.029008999999859952,0.0,0,False
62,0.028949999999895226,0.0,0,False
63,0.02958200000011857,0.0,0,False
64,0.029421999999613035,0.0,0,False
65,0.02962999999999738,0.0,0,False
66,0.03005699999994249,0.0,0,False
67,0.028397000000040862,0.0,0,False
68,0.02700600000025588,0.0,0,False
69,0.02675600000020495,0.0,0,False
70,0.026875000000472937,0.0,0,False
71,0.027884000000085507,0.0,0,False
72,0.028844999999819265,0.0,0,False
73,0.028787999999622116,0.0,0,False
74,0.02878699999928358,0.0,0,False
75,0.02866199999971286,0.0,0,False
76,0.02936500000032538,0.0,0,False
77,0.02958200000011857,0.0,0,False
78,0.02924299999995128,0.0,0,False
79,0.029588999999759835,0.0,0,False
80,0.029598999999507214,0.0,0,False
81,0.028935000000274158,0.0,0,False
82,0.02866199999971286,0.0,0,False
83,0.027853999999933876,0.0,0,False
84,0.027796999999736727,0.0,0,False
85,0.028487000000495755,0.0,0,False
86,0.027634000000034575,0.0,0,False
87,0.027538999999705993,0.0,0,False
88,0.02794900000026246,0.0,0,False
89,0.0287930000004053,0.0,0,False
90,0.028530000000500877,0.0,0,False
91,0.02888100000018312,0.0,0,False
92,0.02823999999964144,0.0,0,False
93,0.02872899999965739,0.0,0,False
94,0.02960700000039651,0.0,0,False
95,0.027571999999963737,0.0,0,False
96,0.02748299999984738,0.0,0,False
97,0.027307999999720778,0.0,0,False
98,0.027619000000413507,0.0,0,False
