params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",32.33303100000012,100,9.358218365057607e-05,0.0,0.0,0.003816793893129771,0.00046546425212114245
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",30.48158400000011,100,0.001786154640278746,0.001545405075134134,0.0,0.007936507936507936,0.0016762144838113452
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",29.676540999999816,100,0.0017380590983889505,0.0016038502695806065,0.0,0.00625,0.0014713523452528445
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",28.979885000000195,100,0.003633110502438358,0.0033222591362126247,0.0,0.009615384615384616,0.0018638479235548275
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",27.751252000000022,100,0.0029105024698743267,0.0026351604705098118,0.0,0.008064516129032258,0.001765746360393748
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",26.53130400000009,100,0.004226807554317714,0.0037807318467695827,0.0,0.011235955056179775,0.0020230282746409737
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",27.237086999999974,100,0.003492555958370045,0.00310570987654321,0.0014204545454545455,0.008620689655172414,0.0013948543863628359
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",24.653715999999804,100,0.004651453520713547,0.004123728871203619,0.0015748031496062992,0.010638297872340425,0.001818512097101857
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",25.728350999999748,100,0.004453864946039831,0.004192890545339474,0.0,0.013513513513513514,0.0021763727793029865
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",28.016133999999965,100,0.003156615956841947,0.0027359832322778653,0.0,0.015384615384615385,0.0022287482797453007
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",32.41657299999997,100,0.00017262075386636136,0.0,0.0,0.003861003861003861,0.0005803673495020581
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",32.91464300000007,100,0.0012517843797476135,0.0010649675576176938,0.0,0.008064516129032258,0.001623995815459695
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",30.92363800000021,100,0.0020917010330810675,0.0018779491737023635,0.0,0.008620689655172414,0.001584952640758332
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",28.672818000000007,100,0.002476479514923273,0.0020844280199236575,0.0,0.007246376811594203,0.0017825859705687924
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",29.69603700000016,100,0.002383165968639865,0.00196657023962378,0.0,0.012658227848101266,0.002071776835586117
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",29.59385199999997,100,0.0031775607233608585,0.003044316349415232,0.0,0.007751937984496124,0.0014974267433684478
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",29.942319000000225,100,0.0032414501220176055,0.002675346042419257,0.0,0.010309278350515464,0.0018535501925154101
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",27.40511400000014,100,0.003877521713997559,0.0035725677830940987,0.0016233766233766235,0.011111111111111112,0.001503801030083508
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",25.307592999999997,100,0.004853597143600216,0.0046201451131028595,0.0017793594306049821,0.013333333333333334,0.002058823331952502
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",26.183582000000115,100,0.0042359344373261165,0.004008804910183489,0.001303780964797914,0.011494252873563218,0.001859245494705743
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",32.74832100000003,100,0.000923989689475453,0.0,0.0,0.0055248618784530384,0.0012284666242177004
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",31.088529000000108,100,0.002104634817440571,0.0018757998959256289,0.0,0.006369426751592357,0.0012238974252705658
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",31.091129000000365,100,0.002333245713775058,0.002079226752429367,0.0,0.006944444444444444,0.0016562868344917226
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",29.70669500000031,100,0.0022710732814614125,0.00204292010283463,0.0,0.007874015748031496,0.0016464612728309927
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",27.82911899999999,100,0.003254080621092806,0.003067484662576687,0.0,0.010416666666666666,0.0015732617516071197
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",26.11232899999959,100,0.0038552530711366585,0.003623235969806367,0.0,0.011764705882352941,0.0019151551327042562
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",26.060662999999295,100,0.004222746062702082,0.004494586296056884,0.0,0.01,0.002216864520161704
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",27.604919000000336,100,0.003543983599480821,0.0031152950310559006,0.0,0.010869565217391304,0.0021043455147745794
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",25.634006000000227,100,0.004136874021763563,0.0038684864266259615,0.0012224938875305623,0.010309278350515464,0.0018257580040051502
