steps,time,reward,delta,converged
1,0.0005110000000172477,52.5,100.5,False
2,0.00048099999997930354,283.25,50.0,False
3,0.0004749999999944521,487.0,25.0,False
4,0.00047200000000202635,633.0625,12.5,False
5,0.0004749999999944521,725.03125,6.25,False
6,0.0004749999999944521,780.484375,3.125,False
7,0.00047399999999697684,811.14453125,1.5625,False
8,0.0004710000000045511,828.158203125,0.78125,False
9,0.00047000000000707587,837.4169921875,0.390625,False
10,0.00047399999999697684,842.41943359375,0.1953125,False
11,0.0004779999999868778,845.107177734375,0.09765625,False
12,0.0004749999999944521,846.5498046875,0.048828125,False
13,0.00047399999999697684,847.2725830078125,0.0244140625,False
14,0.0007439999999974134,847.6339721679688,0.01220703125,False
15,0.0006589999999846441,847.8146667480469,0.006103515625,False
16,0.0005349999999566535,847.9050140380859,0.0030517578125,False
17,0.0006929999999556458,847.9501876831055,0.00152587890625,False
18,0.0007190000000036889,847.9727745056152,0.000762939453125,False
19,0.000477000000046246,847.9840679168701,0.0003814697265625,False
20,0.00047399999999697684,847.9897146224976,0.00019073486328125,False
21,0.00047600000004877074,847.9925379753113,9.5367431640625e-05,False
22,0.000551999999970576,847.9939496517181,4.76837158203125e-05,False
23,0.0006640000000288637,847.9946554899216,2.384185791015625e-05,False
24,0.0005970000000274922,847.9950084090233,1.1920928955078125e-05,False
25,0.0006429999999681968,847.9951848685741,5.9604644775390625e-06,True
