steps,time,reward,delta,converged
1,0.0009049999999888314,0.6666666666666666,0.3333333333333333,False
2,0.0008580000000222299,1.3866666666666665,0.19999999999999998,False
3,0.0009569999999996526,2.1294666666666666,0.12299999999999997,False
4,0.0008499999999855845,2.8830186666666657,0.08459999999999998,False
5,0.0008380000000158816,3.6346889466666665,0.06525899999999996,False
6,0.0008349999999950342,4.374580368666667,0.05030909999999997,False
7,0.0008449999999982083,5.094236378118666,0.039665861999999996,False
8,0.0009959999999864522,5.786967689050026,0.03170501190000001,False
9,0.0008689999999944575,6.446755053942574,0.025572658796999992,False
10,0.0008330000000000837,7.067189876514874,0.020905331292990006,False
11,0.0008340000000259806,7.641511317986032,0.017188703101287006,False
12,0.0008300000000076579,8.163642425688309,0.014220110954495338,False
13,0.0008300000000076579,8.629312784304538,0.01176482760401272,False
14,0.0010119999999744778,9.036750604075143,0.009760141690885654,False
15,0.0008410000000083073,9.387318790297913,0.00814102048928591,False
16,0.0008270000000152322,9.684108660541469,0.007239192792585045,False
17,0.0008140000000196324,9.931485846173269,0.006348336534304,False
18,0.0008119999999962602,10.13508425542427,0.0054547239698418196,False
19,0.000844000000000733,10.300534412951805,0.004677898216194194,False
20,0.0012300000000209366,10.43367617938168,0.004014106640623176,False
21,0.0008140000000196324,10.539693769406098,0.0034768777596435527,False
22,0.000803000000018983,10.623278646178647,0.0030084581148851278,False
23,0.0008050000000139335,10.688573668548727,0.0026988746997996006,False
24,0.000801999999993086,10.739152929348277,0.002365839696147138,False
25,0.001079000000004271,10.77808059502217,0.0020173970257579762,False
26,0.0008229999999969095,10.807902736044522,0.0016805975858017047,False
27,0.0008100000000013097,10.83060922048551,0.0013726796034465617,False
28,0.0009550000000047021,10.847806266789677,0.0011026673889584261,False
29,0.001004999999992151,10.860770149763505,0.000873422135131259,False
30,0.0010209999999801767,10.870502783409604,0.0006840731800136363,False
31,0.0008829999999875326,10.87778267713081,0.000531311680983533,False
32,0.000851999999980535,10.883209675746492,0.0004098085570142865,False
33,0.0008339999999975589,10.887242926804829,0.0003141398367758133,False
34,0.0008139999999912106,10.890231916156715,0.00023942137127010849,False
35,0.0008139999999912106,10.892441327474085,0.00018148833098634298,False
36,0.0011810000000025411,10.894070694578152,0.0001368783313498781,False
37,0.0008159999999861611,10.895269792774759,0.00010275270736365139,False
38,0.0009239999999977044,10.896150601611815,7.680866694668997e-05,False
39,0.0009540000000072268,10.89679653878335,5.719725965157296e-05,False
40,0.0009379999999907795,10.897269541063075,4.244952374812816e-05,False
41,0.001340999999996484,10.89761546047461,3.141059414950992e-05,False
42,0.0009060000000147284,10.897868152596304,2.3181592834410625e-05,False
43,0.0008140000000196324,10.898052557410134,1.706930172569454e-05,False
44,0.0008039999999880365,10.898187009737391,1.2543499550751736e-05,False
45,0.000805999999982987,10.898284964456627,9.20156687160556e-06,True
